perturbation_multiplier;n_samples_per_tuple;p;val_percent;conversion_method;fidelity_error;fooled_heuristic;ood_error;summary;number_preds;number_perturbation_preds;replication_rate
1.0;1.0;0.8;0.1;0.0;0.28;0.5723199994255997;0.35860655737704916;{1: [('age', 0.06957928802588997), ('length_of_stay', 0.09223300970873786), ('priors_count', 0.06472491909385113), ('race', 0.08737864077669903), ('unrelated_column_one', 0.686084142394822)], 2: [('age', 0.06472491909385113), ('c_charge_degree', 0.016181229773462782), ('length_of_stay', 0.08414239482200647), ('priors_count', 0.215210355987055), ('race', 0.5469255663430421), ('sex', 0.003236245954692557), ('two_year_recid', 0.003236245954692557), ('unrelated_column_one', 0.05663430420711974), ('unrelated_column_two', 0.009708737864077669)], 3: [('Nothing shown', 0.49029126213592233), ('age', 0.15048543689320387), ('c_charge_degree', 0.05501618122977346), ('length_of_stay', 0.07928802588996764), ('priors_count', 0.05663430420711974), ('race', 0.061488673139158574), ('sex', 0.024271844660194174), ('two_year_recid', 0.03559870550161812), ('unrelated_column_one', 0.019417475728155338), ('unrelated_column_two', 0.02750809061488673)]};265.0;279.0;0.560857039971192
1.0;1.0;0.8;0.1;1.0;0.28;0.4383882404558951;0.35860655737704916;{1: [('priors_count', 0.0016181229773462784), ('race', 0.2313915857605178), ('unrelated_column_one', 0.7669902912621359)], 2: [('age', 0.06634304207119741), ('c_charge_degree', 0.01779935275080906), ('length_of_stay', 0.16181229773462782), ('priors_count', 0.24919093851132687), ('race', 0.4854368932038835), ('sex', 0.008090614886731391), ('unrelated_column_one', 0.0016181229773462784), ('unrelated_column_two', 0.009708737864077669)], 3: [('Nothing shown', 0.4886731391585761), ('age', 0.19093851132686085), ('c_charge_degree', 0.061488673139158574), ('length_of_stay', 0.0970873786407767), ('priors_count', 0.07928802588996764), ('sex', 0.022653721682847898), ('two_year_recid', 0.02912621359223301), ('unrelated_column_two', 0.030744336569579287)]};265.0;279.0;0.560857039971192
1.0;1.0;0.8;0.2;0.0;0.28;0.8050383349173095;0.35860655737704916;{1: [('age', 0.07281553398058252), ('length_of_stay', 0.0889967637540453), ('priors_count', 0.07119741100323625), ('race', 0.22653721682847897), ('unrelated_column_one', 0.540453074433657)], 2: [('age', 0.07766990291262135), ('c_charge_degree', 0.016181229773462782), ('length_of_stay', 0.07605177993527508), ('priors_count', 0.21035598705501618), ('race', 0.41262135922330095), ('sex', 0.0048543689320388345), ('two_year_recid', 0.003236245954692557), ('unrelated_column_one', 0.19093851132686085), ('unrelated_column_two', 0.008090614886731391)], 3: [('Nothing shown', 0.48705501618122976), ('age', 0.1343042071197411), ('c_charge_degree', 0.032362459546925564), ('length_of_stay', 0.09870550161812297), ('priors_count', 0.0889967637540453), ('race', 0.04854368932038835), ('sex', 0.025889967637540454), ('two_year_recid', 0.014563106796116505), ('unrelated_column_one', 0.03398058252427184), ('unrelated_column_two', 0.03559870550161812)]};265.0;279.0;0.560857039971192
1.0;1.0;0.8;0.2;1.0;0.28;0.6828173167736743;0.35860655737704916;{1: [('race', 0.3737864077669903), ('unrelated_column_one', 0.6262135922330098)], 2: [('age', 0.08737864077669903), ('c_charge_degree', 0.012944983818770227), ('length_of_stay', 0.11812297734627832), ('priors_count', 0.2750809061488673), ('race', 0.343042071197411), ('sex', 0.006472491909385114), ('two_year_recid', 0.006472491909385114), ('unrelated_column_one', 0.1423948220064725), ('unrelated_column_two', 0.008090614886731391)], 3: [('Nothing shown', 0.4854368932038835), ('age', 0.18122977346278318), ('c_charge_degree', 0.04854368932038835), ('length_of_stay', 0.127831715210356), ('priors_count', 0.08576051779935275), ('sex', 0.021035598705501618), ('two_year_recid', 0.016181229773462782), ('unrelated_column_two', 0.03398058252427184)]};265.0;279.0;0.560857039971192
1.0;1.0;0.8;0.3;0.0;0.28;0.6197662029380553;0.35860655737704916;{1: [('age', 0.09385113268608414), ('length_of_stay', 0.0970873786407767), ('priors_count', 0.06310679611650485), ('race', 0.08737864077669903), ('unrelated_column_one', 0.6585760517799353)], 2: [('age', 0.08090614886731391), ('c_charge_degree', 0.01779935275080906), ('length_of_stay', 0.07766990291262135), ('priors_count', 0.20064724919093851), ('race', 0.5323624595469255), ('two_year_recid', 0.0016181229773462784), ('unrelated_column_one', 0.08737864077669903), ('unrelated_column_two', 0.0016181229773462784)], 3: [('Nothing shown', 0.4935275080906149), ('age', 0.10841423948220065), ('c_charge_degree', 0.06310679611650485), ('length_of_stay', 0.07928802588996764), ('priors_count', 0.08576051779935275), ('race', 0.07928802588996764), ('sex', 0.019417475728155338), ('two_year_recid', 0.01779935275080906), ('unrelated_column_one', 0.01779935275080906), ('unrelated_column_two', 0.03559870550161812)]};265.0;279.0;0.560857039971192
1.0;1.0;0.8;0.3;1.0;0.28;0.47282337824921905;0.35860655737704916;{1: [('priors_count', 0.003236245954692557), ('race', 0.24919093851132687), ('unrelated_column_one', 0.7475728155339806)], 2: [('age', 0.08576051779935275), ('c_charge_degree', 0.016181229773462782), ('length_of_stay', 0.1423948220064725), ('priors_count', 0.25728155339805825), ('race', 0.46763754045307443), ('sex', 0.0016181229773462784), ('two_year_recid', 0.003236245954692557), ('unrelated_column_one', 0.021035598705501618), ('unrelated_column_two', 0.0048543689320388345)], 3: [('Nothing shown', 0.4935275080906149), ('age', 0.18770226537216828), ('c_charge_degree', 0.04854368932038835), ('length_of_stay', 0.11003236245954692), ('priors_count', 0.09061488673139159), ('sex', 0.014563106796116505), ('two_year_recid', 0.025889967637540454), ('unrelated_column_two', 0.02912621359223301)]};265.0;279.0;0.560857039971192
1.0;1.0;0.8;0.1;0.0;0.32999999999999996;0.4366646924508504;0.3734693877551021;{1: [('age', 0.06634304207119741), ('length_of_stay', 0.05501618122977346), ('priors_count', 0.06796116504854369), ('race', 0.05177993527508091), ('unrelated_column_one', 0.7588996763754046)], 2: [('age', 0.05663430420711974), ('c_charge_degree', 0.05825242718446602), ('length_of_stay', 0.05501618122977346), ('priors_count', 0.16828478964401294), ('race', 0.5550161812297735), ('sex', 0.003236245954692557), ('two_year_recid', 0.03398058252427184), ('unrelated_column_one', 0.04854368932038835), ('unrelated_column_two', 0.021035598705501618)], 3: [('Nothing shown', 0.4854368932038835), ('age', 0.08737864077669903), ('c_charge_degree', 0.06957928802588997), ('length_of_stay', 0.11650485436893204), ('priors_count', 0.08576051779935275), ('race', 0.042071197411003236), ('sex', 0.011326860841423949), ('two_year_recid', 0.04692556634304207), ('unrelated_column_one', 0.008090614886731391), ('unrelated_column_two', 0.04692556634304207)]};208.0;218.0;0.5588764854159165
1.0;1.0;0.8;0.1;1.0;0.32999999999999996;0.34445348331753456;0.3734693877551021;{1: [('age', 0.0016181229773462784), ('race', 0.18284789644012944), ('unrelated_column_one', 0.8155339805825242)], 2: [('age', 0.09061488673139159), ('c_charge_degree', 0.05177993527508091), ('length_of_stay', 0.08737864077669903), ('priors_count', 0.2022653721682848), ('race', 0.48705501618122976), ('sex', 0.009708737864077669), ('two_year_recid', 0.030744336569579287), ('unrelated_column_two', 0.040453074433656956)], 3: [('Nothing shown', 0.48705501618122976), ('age', 0.10194174757281553), ('c_charge_degree', 0.06310679611650485), ('length_of_stay', 0.13754045307443366), ('priors_count', 0.10841423948220065), ('sex', 0.003236245954692557), ('two_year_recid', 0.05177993527508091), ('unrelated_column_two', 0.04692556634304207)]};208.0;218.0;0.5588764854159165
1.0;1.0;0.8;0.2;0.0;0.32999999999999996;0.41972302239338427;0.3734693877551021;{1: [('age', 0.04692556634304207), ('length_of_stay', 0.04854368932038835), ('priors_count', 0.05339805825242718), ('race', 0.08090614886731391), ('unrelated_column_one', 0.7702265372168284)], 2: [('age', 0.07119741100323625), ('c_charge_degree', 0.03559870550161812), ('length_of_stay', 0.07766990291262135), ('priors_count', 0.1650485436893204), ('race', 0.5355987055016181), ('sex', 0.0048543689320388345), ('two_year_recid', 0.045307443365695796), ('unrelated_column_one', 0.03559870550161812), ('unrelated_column_two', 0.02912621359223301)], 3: [('Nothing shown', 0.48705501618122976), ('age', 0.07928802588996764), ('c_charge_degree', 0.05501618122977346), ('length_of_stay', 0.0970873786407767), ('priors_count', 0.09223300970873786), ('race', 0.040453074433656956), ('sex', 0.022653721682847898), ('two_year_recid', 0.06957928802588997), ('unrelated_column_one', 0.009708737864077669), ('unrelated_column_two', 0.04692556634304207)]};208.0;218.0;0.5588764854159165
1.0;1.0;0.8;0.2;1.0;0.32999999999999996;0.3444534833172698;0.3734693877551021;{1: [('race', 0.18446601941747573), ('unrelated_column_one', 0.8155339805825242)], 2: [('age', 0.09870550161812297), ('c_charge_degree', 0.038834951456310676), ('length_of_stay', 0.07766990291262135), ('priors_count', 0.19902912621359223), ('race', 0.4854368932038835), ('sex', 0.0016181229773462784), ('two_year_recid', 0.07119741100323625), ('unrelated_column_two', 0.02750809061488673)], 3: [('Nothing shown', 0.48705501618122976), ('age', 0.11165048543689321), ('c_charge_degree', 0.05016181229773463), ('length_of_stay', 0.14724919093851133), ('priors_count', 0.09061488673139159), ('sex', 0.012944983818770227), ('two_year_recid', 0.04854368932038835), ('unrelated_column_two', 0.05177993527508091)]};208.0;218.0;0.5588764854159165
