perturbation_multiplier;fidelity_error;fooled_heuristic;ood_error;summary;number_preds;number_perturbation_preds;replication_rate
1;0.17000000000000004;1.3928730617260157;0.3213321332133213;{1: [('age', 0.05663430420711974), ('c_charge_degree', 0.003236245954692557), ('length_of_stay', 0.0016181229773462784), ('priors_count', 0.08737864077669903), ('race', 0.4773462783171521), ('sex', 0.008090614886731391), ('two_year_recid', 0.003236245954692557), ('unrelated_column_one', 0.3592233009708738), ('unrelated_column_two', 0.003236245954692557)], 2: [('Nothing shown', 0.01779935275080906), ('age', 0.10679611650485436), ('c_charge_degree', 0.030744336569579287), ('length_of_stay', 0.032362459546925564), ('priors_count', 0.040453074433656956), ('race', 0.3155339805825243), ('sex', 0.045307443365695796), ('two_year_recid', 0.016181229773462782), ('unrelated_column_one', 0.38349514563106796), ('unrelated_column_two', 0.011326860841423949)], 3: [('Nothing shown', 0.02750809061488673), ('age', 0.3058252427184466), ('c_charge_degree', 0.042071197411003236), ('length_of_stay', 0.11974110032362459), ('priors_count', 0.1488673139158576), ('race', 0.09385113268608414), ('sex', 0.06472491909385113), ('two_year_recid', 0.03559870550161812), ('unrelated_column_one', 0.13754045307443366), ('unrelated_column_two', 0.024271844660194174)]};409.0;417.0;0.15556355779618294
2;0.22999999999999998;0.7357371373300345;0.1701170117011701;{1: [('age', 0.05663430420711974), ('c_charge_degree', 0.006472491909385114), ('length_of_stay', 0.003236245954692557), ('priors_count', 0.0744336569579288), ('race', 0.21844660194174756), ('sex', 0.003236245954692557), ('two_year_recid', 0.003236245954692557), ('unrelated_column_one', 0.6294498381877023), ('unrelated_column_two', 0.0048543689320388345)], 2: [('Nothing shown', 0.021035598705501618), ('age', 0.09870550161812297), ('c_charge_degree', 0.02912621359223301), ('length_of_stay', 0.025889967637540454), ('priors_count', 0.04854368932038835), ('race', 0.41585760517799353), ('sex', 0.045307443365695796), ('two_year_recid', 0.03398058252427184), ('unrelated_column_one', 0.2669902912621359), ('unrelated_column_two', 0.014563106796116505)], 3: [('Nothing shown', 0.040453074433656956), ('age', 0.2669902912621359), ('c_charge_degree', 0.040453074433656956), ('length_of_stay', 0.1262135922330097), ('priors_count', 0.12944983818770225), ('race', 0.19902912621359223), ('sex', 0.06957928802588997), ('two_year_recid', 0.043689320388349516), ('unrelated_column_one', 0.06472491909385113), ('unrelated_column_two', 0.019417475728155338)]};330.0;338.0;0.14935181850918258
3;0.28;0.4872673258916849;0.0960240060015004;{1: [('age', 0.040453074433656956), ('c_charge_degree', 0.003236245954692557), ('priors_count', 0.05663430420711974), ('race', 0.1407766990291262), ('two_year_recid', 0.0048543689320388345), ('unrelated_column_one', 0.7491909385113269), ('unrelated_column_two', 0.0048543689320388345)], 2: [('Nothing shown', 0.021035598705501618), ('age', 0.13592233009708737), ('c_charge_degree', 0.043689320388349516), ('length_of_stay', 0.032362459546925564), ('priors_count', 0.0744336569579288), ('race', 0.39805825242718446), ('sex', 0.061488673139158574), ('two_year_recid', 0.032362459546925564), ('unrelated_column_one', 0.1796116504854369), ('unrelated_column_two', 0.021035598705501618)], 3: [('Nothing shown', 0.04692556634304207), ('age', 0.24271844660194175), ('c_charge_degree', 0.05016181229773463), ('length_of_stay', 0.14563106796116504), ('priors_count', 0.10841423948220065), ('race', 0.25080906148867316), ('sex', 0.06796116504854369), ('two_year_recid', 0.024271844660194174), ('unrelated_column_one', 0.038834951456310676), ('unrelated_column_two', 0.024271844660194174)]};280.0;286.0;0.14350018005041412
4;0.30000000000000004;0.46143461902851696;0.07314054236525258;{1: [('age', 0.01779935275080906), ('c_charge_degree', 0.006472491909385114), ('priors_count', 0.040453074433656956), ('race', 0.1553398058252427), ('sex', 0.008090614886731391), ('two_year_recid', 0.0048543689320388345), ('unrelated_column_one', 0.7588996763754046), ('unrelated_column_two', 0.008090614886731391)], 2: [('Nothing shown', 0.032362459546925564), ('age', 0.15048543689320387), ('c_charge_degree', 0.038834951456310676), ('length_of_stay', 0.032362459546925564), ('priors_count', 0.08414239482200647), ('race', 0.3786407766990291), ('sex', 0.06634304207119741), ('two_year_recid', 0.030744336569579287), ('unrelated_column_one', 0.16990291262135923), ('unrelated_column_two', 0.016181229773462782)], 3: [('Nothing shown', 0.04692556634304207), ('age', 0.24433656957928804), ('c_charge_degree', 0.06310679611650485), ('length_of_stay', 0.13754045307443366), ('priors_count', 0.11003236245954692), ('race', 0.22168284789644013), ('sex', 0.07119741100323625), ('two_year_recid', 0.0372168284789644), ('unrelated_column_one', 0.02750809061488673), ('unrelated_column_two', 0.040453074433656956)]};252.0;257.0;0.14741627655743608
5;0.32999999999999996;0.36784059565847826;0.06211739287000362;{1: [('age', 0.01779935275080906), ('c_charge_degree', 0.0016181229773462784), ('priors_count', 0.02750809061488673), ('race', 0.13915857605177995), ('two_year_recid', 0.003236245954692557), ('unrelated_column_one', 0.8042071197411004), ('unrelated_column_two', 0.006472491909385114)], 2: [('Nothing shown', 0.05501618122977346), ('age', 0.1407766990291262), ('c_charge_degree', 0.0372168284789644), ('length_of_stay', 0.045307443365695796), ('priors_count', 0.10194174757281553), ('race', 0.3187702265372168), ('sex', 0.059870550161812294), ('two_year_recid', 0.043689320388349516), ('unrelated_column_one', 0.15857605177993528), ('unrelated_column_two', 0.038834951456310676)], 3: [('Nothing shown', 0.08414239482200647), ('age', 0.2168284789644013), ('c_charge_degree', 0.05663430420711974), ('length_of_stay', 0.14401294498381878), ('priors_count', 0.0889967637540453), ('race', 0.23462783171521034), ('sex', 0.0825242718446602), ('two_year_recid', 0.02750809061488673), ('unrelated_column_one', 0.024271844660194174), ('unrelated_column_two', 0.040453074433656956)]};224.0;227.0;0.14666906733885487
6;0.35;0.29715310038848824;0.0441110277569392;{1: [('age', 0.009708737864077669), ('c_charge_degree', 0.0048543689320388345), ('priors_count', 0.014563106796116505), ('race', 0.11812297734627832), ('sex', 0.003236245954692557), ('two_year_recid', 0.0048543689320388345), ('unrelated_column_one', 0.8414239482200647), ('unrelated_column_two', 0.003236245954692557)], 2: [('Nothing shown', 0.08414239482200647), ('age', 0.15048543689320387), ('c_charge_degree', 0.045307443365695796), ('length_of_stay', 0.05339805825242718), ('priors_count', 0.0970873786407767), ('race', 0.3220064724919094), ('sex', 0.07281553398058252), ('two_year_recid', 0.0372168284789644), ('unrelated_column_one', 0.10194174757281553), ('unrelated_column_two', 0.03559870550161812)], 3: [('Nothing shown', 0.11003236245954692), ('age', 0.19741100323624594), ('c_charge_degree', 0.05501618122977346), ('length_of_stay', 0.16828478964401294), ('priors_count', 0.08414239482200647), ('race', 0.215210355987055), ('sex', 0.0825242718446602), ('two_year_recid', 0.03559870550161812), ('unrelated_column_one', 0.021035598705501618), ('unrelated_column_two', 0.030744336569579287)]};207.0;208.0;0.1506421798103469
7;0.36;0.3400888743192951;0.03999485596707819;{1: [('age', 0.022653721682847898), ('c_charge_degree', 0.008090614886731391), ('priors_count', 0.021035598705501618), ('race', 0.12459546925566344), ('two_year_recid', 0.0048543689320388345), ('unrelated_column_one', 0.8155339805825242), ('unrelated_column_two', 0.003236245954692557)], 2: [('Nothing shown', 0.09223300970873786), ('age', 0.1343042071197411), ('c_charge_degree', 0.059870550161812294), ('length_of_stay', 0.024271844660194174), ('priors_count', 0.07766990291262135), ('race', 0.2977346278317152), ('sex', 0.06957928802588997), ('two_year_recid', 0.043689320388349516), ('unrelated_column_one', 0.14724919093851133), ('unrelated_column_two', 0.05339805825242718)], 3: [('Nothing shown', 0.12135922330097088), ('age', 0.1925566343042071), ('c_charge_degree', 0.05825242718446602), ('length_of_stay', 0.16181229773462782), ('priors_count', 0.07281553398058252), ('race', 0.21844660194174756), ('sex', 0.09061488673139159), ('two_year_recid', 0.04854368932038835), ('unrelated_column_one', 0.009708737864077669), ('unrelated_column_two', 0.025889967637540454)]};188.0;189.0;0.14908174288800866
8;0.38;0.3019081400827525;0.032464974962021054;{1: [('age', 0.009708737864077669), ('c_charge_degree', 0.011326860841423949), ('length_of_stay', 0.0016181229773462784), ('priors_count', 0.011326860841423949), ('race', 0.12135922330097088), ('sex', 0.0016181229773462784), ('two_year_recid', 0.0048543689320388345), ('unrelated_column_one', 0.8333333333333334), ('unrelated_column_two', 0.0048543689320388345)], 2: [('Nothing shown', 0.12459546925566344), ('age', 0.14563106796116504), ('c_charge_degree', 0.05339805825242718), ('length_of_stay', 0.040453074433656956), ('priors_count', 0.10679611650485436), ('race', 0.23786407766990292), ('sex', 0.0744336569579288), ('two_year_recid', 0.05016181229773463), ('unrelated_column_one', 0.11974110032362459), ('unrelated_column_two', 0.04692556634304207)], 3: [('Nothing shown', 0.14563106796116504), ('age', 0.16990291262135923), ('c_charge_degree', 0.06310679611650485), ('length_of_stay', 0.1488673139158576), ('priors_count', 0.05501618122977346), ('race', 0.22491909385113268), ('sex', 0.07928802588996764), ('two_year_recid', 0.059870550161812294), ('unrelated_column_one', 0.01779935275080906), ('unrelated_column_two', 0.03559870550161812)]};172.0;172.0;0.14872164205977673
9;0.37;0.26331293777710985;0.026406601650412642;{1: [('age', 0.011326860841423949), ('c_charge_degree', 0.0048543689320388345), ('priors_count', 0.006472491909385114), ('race', 0.11326860841423948), ('sex', 0.0016181229773462784), ('two_year_recid', 0.003236245954692557), ('unrelated_column_one', 0.8576051779935275), ('unrelated_column_two', 0.0016181229773462784)], 2: [('Nothing shown', 0.12297734627831715), ('age', 0.1423948220064725), ('c_charge_degree', 0.04854368932038835), ('length_of_stay', 0.04854368932038835), ('priors_count', 0.1262135922330097), ('race', 0.2702265372168285), ('sex', 0.06310679611650485), ('two_year_recid', 0.025889967637540454), ('unrelated_column_one', 0.09870550161812297), ('unrelated_column_two', 0.05339805825242718)], 3: [('Nothing shown', 0.1407766990291262), ('age', 0.1796116504854369), ('c_charge_degree', 0.0744336569579288), ('length_of_stay', 0.1343042071197411), ('priors_count', 0.07281553398058252), ('race', 0.21844660194174756), ('sex', 0.07766990291262135), ('two_year_recid', 0.045307443365695796), ('unrelated_column_one', 0.025889967637540454), ('unrelated_column_two', 0.030744336569579287)]};171.0;173.0;0.14532068979314208
10;0.38;0.2769752266622307;0.024846957148001447;{1: [('age', 0.01779935275080906), ('c_charge_degree', 0.008090614886731391), ('priors_count', 0.012944983818770227), ('race', 0.10355987055016182), ('sex', 0.0016181229773462784), ('two_year_recid', 0.003236245954692557), ('unrelated_column_one', 0.8478964401294499), ('unrelated_column_two', 0.0048543689320388345)], 2: [('Nothing shown', 0.12944983818770225), ('age', 0.1634304207119741), ('c_charge_degree', 0.05177993527508091), ('length_of_stay', 0.05177993527508091), ('priors_count', 0.09870550161812297), ('race', 0.23948220064724918), ('sex', 0.0744336569579288), ('two_year_recid', 0.0372168284789644), ('unrelated_column_one', 0.10355987055016182), ('unrelated_column_two', 0.05016181229773463)], 3: [('Nothing shown', 0.1488673139158576), ('age', 0.15372168284789645), ('c_charge_degree', 0.059870550161812294), ('length_of_stay', 0.1423948220064725), ('priors_count', 0.0889967637540453), ('race', 0.23462783171521034), ('sex', 0.05825242718446602), ('two_year_recid', 0.05339805825242718), ('unrelated_column_one', 0.024271844660194174), ('unrelated_column_two', 0.03559870550161812)]};167.0;168.0;0.1492797983435362
