perturbation_multiplier;fidelity_error;fooled_heuristic;ood_error;summary;number_preds;number_perturbation_preds;replication_rate
1;0.19999999999999996;1.2012278867603357;0.4752475247524752;{1: [('age', 0.08090614886731391), ('length_of_stay', 0.4482200647249191), ('priors_count', 0.0744336569579288), ('race', 0.21844660194174756), ('unrelated_column_one', 0.1779935275080906)], 2: [('Nothing shown', 0.019417475728155338), ('age', 0.09223300970873786), ('c_charge_degree', 0.016181229773462782), ('length_of_stay', 0.059870550161812294), ('priors_count', 0.10841423948220065), ('race', 0.2750809061488673), ('sex', 0.01779935275080906), ('two_year_recid', 0.012944983818770227), ('unrelated_column_one', 0.38673139158576053), ('unrelated_column_two', 0.011326860841423949)], 3: [('Nothing shown', 0.11650485436893204), ('age', 0.156957928802589), ('c_charge_degree', 0.06634304207119741), ('length_of_stay', 0.1262135922330097), ('priors_count', 0.11165048543689321), ('race', 0.10841423948220065), ('sex', 0.061488673139158574), ('two_year_recid', 0.06634304207119741), ('unrelated_column_one', 0.1343042071197411), ('unrelated_column_two', 0.05177993527508091)]};369.0;374.0;0.1049693914296003
2;0.27;1.0142658619469163;0.1984698469846985;{1: [('age', 0.06957928802588997), ('length_of_stay', 0.4320388349514563), ('priors_count', 0.07766990291262135), ('race', 0.15048543689320387), ('unrelated_column_one', 0.2702265372168285)], 2: [('Nothing shown', 0.040453074433656956), ('age', 0.08090614886731391), ('c_charge_degree', 0.014563106796116505), ('length_of_stay', 0.05177993527508091), ('priors_count', 0.07119741100323625), ('race', 0.284789644012945), ('sex', 0.01779935275080906), ('two_year_recid', 0.02750809061488673), ('unrelated_column_one', 0.40129449838187703), ('unrelated_column_two', 0.009708737864077669)], 3: [('Nothing shown', 0.11812297734627832), ('age', 0.11812297734627832), ('c_charge_degree', 0.0889967637540453), ('length_of_stay', 0.1423948220064725), ('priors_count', 0.1262135922330097), ('race', 0.127831715210356), ('sex', 0.05339805825242718), ('two_year_recid', 0.06472491909385113), ('unrelated_column_one', 0.08576051779935275), ('unrelated_column_two', 0.0744336569579288)]};306.0;310.0;0.11127115592365862
3;0.30000000000000004;0.9002740447021127;0.1123780945236309;{1: [('age', 0.0744336569579288), ('length_of_stay', 0.43527508090614886), ('priors_count', 0.059870550161812294), ('race', 0.11650485436893204), ('unrelated_column_one', 0.313915857605178)], 2: [('Nothing shown', 0.042071197411003236), ('age', 0.0825242718446602), ('c_charge_degree', 0.012944983818770227), ('length_of_stay', 0.04692556634304207), ('priors_count', 0.06957928802588997), ('race', 0.27184466019417475), ('sex', 0.024271844660194174), ('two_year_recid', 0.021035598705501618), ('unrelated_column_one', 0.4077669902912621), ('unrelated_column_two', 0.021035598705501618)], 3: [('Nothing shown', 0.13592233009708737), ('age', 0.1407766990291262), ('c_charge_degree', 0.07928802588996764), ('length_of_stay', 0.12459546925566344), ('priors_count', 0.11326860841423948), ('race', 0.13268608414239483), ('sex', 0.06634304207119741), ('two_year_recid', 0.07119741100323625), ('unrelated_column_one', 0.0744336569579288), ('unrelated_column_two', 0.061488673139158574)]};251.0;259.0;0.10688992918017044
4;0.31999999999999995;0.7400884936522216;0.0735906380105773;{1: [('age', 0.06634304207119741), ('length_of_stay', 0.4401294498381877), ('priors_count', 0.05177993527508091), ('race', 0.09870550161812297), ('unrelated_column_one', 0.343042071197411)], 2: [('Nothing shown', 0.06796116504854369), ('age', 0.08090614886731391), ('c_charge_degree', 0.014563106796116505), ('length_of_stay', 0.042071197411003236), ('priors_count', 0.061488673139158574), ('race', 0.22168284789644013), ('sex', 0.022653721682847898), ('two_year_recid', 0.030744336569579287), ('unrelated_column_one', 0.4336569579288026), ('unrelated_column_two', 0.024271844660194174)], 3: [('Nothing shown', 0.127831715210356), ('age', 0.1553398058252427), ('c_charge_degree', 0.06796116504854369), ('length_of_stay', 0.11165048543689321), ('priors_count', 0.13106796116504854), ('race', 0.11165048543689321), ('sex', 0.06472491909385113), ('two_year_recid', 0.061488673139158574), ('unrelated_column_one', 0.10517799352750809), ('unrelated_column_two', 0.06310679611650485)]};235.0;241.0;0.10897551314368023
5;0.33999999999999997;0.6899228279043034;0.05257472092185811;{1: [('age', 0.07605177993527508), ('c_charge_degree', 0.0016181229773462784), ('length_of_stay', 0.41423948220064727), ('priors_count', 0.040453074433656956), ('race', 0.08414239482200647), ('two_year_recid', 0.0016181229773462784), ('unrelated_column_one', 0.3818770226537217)], 2: [('Nothing shown', 0.10032362459546926), ('age', 0.04692556634304207), ('c_charge_degree', 0.03398058252427184), ('length_of_stay', 0.06634304207119741), ('priors_count', 0.045307443365695796), ('race', 0.2022653721682848), ('sex', 0.019417475728155338), ('two_year_recid', 0.022653721682847898), ('unrelated_column_one', 0.441747572815534), ('unrelated_column_two', 0.021035598705501618)], 3: [('Nothing shown', 0.18932038834951456), ('age', 0.14401294498381878), ('c_charge_degree', 0.07281553398058252), ('length_of_stay', 0.11165048543689321), ('priors_count', 0.127831715210356), ('race', 0.12944983818770225), ('sex', 0.03559870550161812), ('two_year_recid', 0.06634304207119741), ('unrelated_column_one', 0.06472491909385113), ('unrelated_column_two', 0.05825242718446602)]};208.0;212.0;0.10554555275477133
6;0.33999999999999997;0.683205753065729;0.03900975243810956;{1: [('age', 0.06472491909385113), ('length_of_stay', 0.42394822006472493), ('priors_count', 0.05016181229773463), ('race', 0.0744336569579288), ('two_year_recid', 0.0016181229773462784), ('unrelated_column_one', 0.3851132686084142)], 2: [('Nothing shown', 0.11326860841423948), ('age', 0.043689320388349516), ('c_charge_degree', 0.024271844660194174), ('length_of_stay', 0.03559870550161812), ('priors_count', 0.032362459546925564), ('race', 0.2168284789644013), ('sex', 0.011326860841423949), ('two_year_recid', 0.016181229773462782), ('unrelated_column_one', 0.48705501618122976), ('unrelated_column_two', 0.019417475728155338)], 3: [('Nothing shown', 0.18770226537216828), ('age', 0.15857605177993528), ('c_charge_degree', 0.06472491909385113), ('length_of_stay', 0.13268608414239483), ('priors_count', 0.0889967637540453), ('race', 0.12135922330097088), ('sex', 0.05825242718446602), ('two_year_recid', 0.06310679611650485), ('unrelated_column_one', 0.059870550161812294), ('unrelated_column_two', 0.06472491909385113)]};195.0;199.0;0.10670987876605449
7;0.36;0.6097657026913992;0.035558127572016485;{1: [('age', 0.059870550161812294), ('length_of_stay', 0.3932038834951456), ('priors_count', 0.07605177993527508), ('race', 0.059870550161812294), ('two_year_recid', 0.0016181229773462784), ('unrelated_column_one', 0.40938511326860844)], 2: [('Nothing shown', 0.14563106796116504), ('age', 0.045307443365695796), ('c_charge_degree', 0.021035598705501618), ('length_of_stay', 0.05177993527508091), ('priors_count', 0.040453074433656956), ('race', 0.17313915857605178), ('sex', 0.008090614886731391), ('two_year_recid', 0.01779935275080906), ('unrelated_column_one', 0.47249190938511326), ('unrelated_column_two', 0.024271844660194174)], 3: [('Nothing shown', 0.21197411003236247), ('age', 0.13268608414239483), ('c_charge_degree', 0.05501618122977346), ('length_of_stay', 0.13754045307443366), ('priors_count', 0.11165048543689321), ('race', 0.13754045307443366), ('sex', 0.05663430420711974), ('two_year_recid', 0.061488673139158574), ('unrelated_column_one', 0.05177993527508091), ('unrelated_column_two', 0.043689320388349516)]};190.0;191.0;0.10692422449714492
8;0.37;0.5308743181679682;0.028695211838181467;{1: [('age', 0.07605177993527508), ('length_of_stay', 0.38673139158576053), ('priors_count', 0.06796116504854369), ('race', 0.05501618122977346), ('two_year_recid', 0.0016181229773462784), ('unrelated_column_one', 0.41262135922330095)], 2: [('Nothing shown', 0.1650485436893204), ('age', 0.05177993527508091), ('c_charge_degree', 0.024271844660194174), ('length_of_stay', 0.05016181229773463), ('priors_count', 0.03398058252427184), ('race', 0.15372168284789645), ('sex', 0.016181229773462782), ('two_year_recid', 0.019417475728155338), ('unrelated_column_one', 0.4563106796116505), ('unrelated_column_two', 0.02912621359223301)], 3: [('Nothing shown', 0.23462783171521034), ('age', 0.11165048543689321), ('c_charge_degree', 0.0744336569579288), ('length_of_stay', 0.11165048543689321), ('priors_count', 0.11812297734627832), ('race', 0.10679611650485436), ('sex', 0.045307443365695796), ('two_year_recid', 0.05339805825242718), ('unrelated_column_one', 0.08737864077669903), ('unrelated_column_two', 0.05663430420711974)]};183.0;185.0;0.10949315808426359
9;0.37;0.5409776519141075;0.022255563890972718;{1: [('age', 0.06634304207119741), ('length_of_stay', 0.3818770226537217), ('priors_count', 0.06472491909385113), ('race', 0.061488673139158574), ('unrelated_column_one', 0.4255663430420712)], 2: [('Nothing shown', 0.1715210355987055), ('age', 0.02912621359223301), ('c_charge_degree', 0.025889967637540454), ('length_of_stay', 0.05016181229773463), ('priors_count', 0.030744336569579287), ('race', 0.14563106796116504), ('sex', 0.014563106796116505), ('two_year_recid', 0.019417475728155338), ('unrelated_column_one', 0.49029126213592233), ('unrelated_column_two', 0.022653721682847898)], 3: [('Nothing shown', 0.26375404530744334), ('age', 0.15048543689320387), ('c_charge_degree', 0.05177993527508091), ('length_of_stay', 0.11003236245954692), ('priors_count', 0.09061488673139159), ('race', 0.11974110032362459), ('sex', 0.05177993527508091), ('two_year_recid', 0.059870550161812294), ('unrelated_column_one', 0.043689320388349516), ('unrelated_column_two', 0.05825242718446602)]};175.0;180.0;0.10710999079742328
10;0.38;0.5243314629993541;0.018680230464530045;{1: [('age', 0.07281553398058252), ('length_of_stay', 0.3802588996763754), ('priors_count', 0.05825242718446602), ('race', 0.06310679611650485), ('sex', 0.003236245954692557), ('unrelated_column_one', 0.4223300970873786)], 2: [('Nothing shown', 0.18284789644012944), ('age', 0.045307443365695796), ('c_charge_degree', 0.016181229773462782), ('length_of_stay', 0.0372168284789644), ('priors_count', 0.042071197411003236), ('race', 0.13754045307443366), ('sex', 0.01779935275080906), ('two_year_recid', 0.025889967637540454), ('unrelated_column_one', 0.4692556634304207), ('unrelated_column_two', 0.025889967637540454)], 3: [('Nothing shown', 0.2540453074433657), ('age', 0.13106796116504854), ('c_charge_degree', 0.061488673139158574), ('length_of_stay', 0.10679611650485436), ('priors_count', 0.11003236245954692), ('race', 0.11326860841423948), ('sex', 0.05177993527508091), ('two_year_recid', 0.05177993527508091), ('unrelated_column_one', 0.06634304207119741), ('unrelated_column_two', 0.05339805825242718)]};163.0;166.0;0.10671588044652502
