model_adversary;model_explainer;blackbox_version;fidelity;fooled_heuristic;ood_accuracy;summary
anchors;explan;one_unrelated_features;0.68;0.6698465738175138;0.6455823293172691;{1: [('age', 0.05501618122977346), ('c_charge_degree', 0.0048543689320388345), ('priors_count', 0.024271844660194174), ('race', 0.2313915857605178), ('sex', 0.0016181229773462784), ('two_year_recid', 0.021035598705501618), ('unrelated_column_one', 0.6553398058252428), ('unrelated_column_two', 0.006472491909385114)], 2: [('Nothing shown', 0.012944983818770227), ('age', 0.10355987055016182), ('c_charge_degree', 0.024271844660194174), ('length_of_stay', 0.02912621359223301), ('priors_count', 0.05825242718446602), ('race', 0.3948220064724919), ('sex', 0.07119741100323625), ('two_year_recid', 0.0372168284789644), ('unrelated_column_one', 0.23462783171521034), ('unrelated_column_two', 0.03398058252427184)], 3: [('Nothing shown', 0.03398058252427184), ('age', 0.26537216828478966), ('c_charge_degree', 0.030744336569579287), ('length_of_stay', 0.13106796116504854), ('priors_count', 0.13754045307443366), ('race', 0.17475728155339806), ('sex', 0.06472491909385113), ('two_year_recid', 0.06957928802588997), ('unrelated_column_one', 0.059870550161812294), ('unrelated_column_two', 0.032362459546925564)]}
anchors;explan;two_unrelated_features;0.66;0.8970768744509262;0.6275510204081632;{1: [('age', 0.059870550161812294), ('length_of_stay', 0.003236245954692557), ('priors_count', 0.061488673139158574), ('race', 0.10517799352750809), ('two_year_recid', 0.003236245954692557), ('unrelated_column_one', 0.3851132686084142), ('unrelated_column_two', 0.3818770226537217)], 2: [('Nothing shown', 0.042071197411003236), ('age', 0.09061488673139159), ('c_charge_degree', 0.009708737864077669), ('length_of_stay', 0.06957928802588997), ('priors_count', 0.07605177993527508), ('race', 0.2686084142394822), ('sex', 0.032362459546925564), ('two_year_recid', 0.006472491909385114), ('unrelated_column_one', 0.19741100323624594), ('unrelated_column_two', 0.20711974110032363)], 3: [('Nothing shown', 0.04854368932038835), ('age', 0.20711974110032363), ('c_charge_degree', 0.01779935275080906), ('length_of_stay', 0.19902912621359223), ('priors_count', 0.1343042071197411), ('race', 0.17475728155339806), ('sex', 0.03559870550161812), ('two_year_recid', 0.019417475728155338), ('unrelated_column_one', 0.08414239482200647), ('unrelated_column_two', 0.07928802588996764)]}
anchors;lore;one_unrelated_features;0.68;0.8482440369037206;0.6455823293172691;{1: [('age', 0.09546925566343042), ('c_charge_degree', 0.0016181229773462784), ('length_of_stay', 0.39805825242718446), ('priors_count', 0.05663430420711974), ('race', 0.13106796116504854), ('two_year_recid', 0.0016181229773462784), ('unrelated_column_one', 0.3155339805825243)], 2: [('Nothing shown', 0.045307443365695796), ('age', 0.07605177993527508), ('c_charge_degree', 0.040453074433656956), ('length_of_stay', 0.04854368932038835), ('priors_count', 0.059870550161812294), ('race', 0.23948220064724918), ('sex', 0.003236245954692557), ('two_year_recid', 0.06472491909385113), ('unrelated_column_one', 0.37540453074433655), ('unrelated_column_two', 0.04692556634304207)], 3: [('Nothing shown', 0.1262135922330097), ('age', 0.11165048543689321), ('c_charge_degree', 0.09223300970873786), ('length_of_stay', 0.1488673139158576), ('priors_count', 0.10517799352750809), ('race', 0.11812297734627832), ('sex', 0.014563106796116505), ('two_year_recid', 0.11488673139158576), ('unrelated_column_one', 0.10032362459546926), ('unrelated_column_two', 0.06796116504854369)]}
anchors;lore;two_unrelated_features;0.66;0.6360588800188285;0.6275510204081632;{1: [('age', 0.11165048543689321), ('length_of_stay', 0.45792880258899676), ('priors_count', 0.06310679611650485), ('race', 0.0744336569579288), ('two_year_recid', 0.003236245954692557), ('unrelated_column_one', 0.1488673139158576), ('unrelated_column_two', 0.1407766990291262)], 2: [('Nothing shown', 0.003236245954692557), ('age', 0.05339805825242718), ('c_charge_degree', 0.011326860841423949), ('length_of_stay', 0.09223300970873786), ('priors_count', 0.06796116504854369), ('race', 0.05663430420711974), ('sex', 0.0016181229773462784), ('two_year_recid', 0.019417475728155338), ('unrelated_column_one', 0.3656957928802589), ('unrelated_column_two', 0.3284789644012945)], 3: [('Nothing shown', 0.09546925566343042), ('age', 0.04854368932038835), ('c_charge_degree', 0.032362459546925564), ('length_of_stay', 0.043689320388349516), ('priors_count', 0.038834951456310676), ('race', 0.10679611650485436), ('sex', 0.006472491909385114), ('two_year_recid', 0.021035598705501618), ('unrelated_column_one', 0.2928802588996764), ('unrelated_column_two', 0.313915857605178)]}
anchors;lime;one_unrelated_features;0.68;0.006479267470793317;0.6455823293172691;{1: [('length_of_stay', 0.003236245954692557), ('unrelated_column_one', 0.9967637540453075)], 2: [('priors_count', 0.0016181229773462784), ('race', 0.9967637540453075), ('unrelated_column_one', 0.0016181229773462784)], 3: [('c_charge_degree', 0.0016181229773462784), ('length_of_stay', 0.0016181229773462784), ('two_year_recid', 0.9951456310679612), ('unrelated_column_two', 0.0016181229773462784)]}
anchors;lime;two_unrelated_features;0.66;5.295935921423507;0.6275510204081632;{1: [('length_of_stay', 0.0048543689320388345), ('race', 0.9789644012944984), ('unrelated_column_one', 0.0016181229773462784), ('unrelated_column_two', 0.014563106796116505)], 2: [('age', 0.0016181229773462784), ('c_charge_degree', 0.08737864077669903), ('priors_count', 0.003236245954692557), ('race', 0.016181229773462782), ('sex', 0.012944983818770227), ('two_year_recid', 0.10679611650485436), ('unrelated_column_one', 0.33171521035598706), ('unrelated_column_two', 0.4401294498381877)], 3: [('age', 0.016181229773462782), ('c_charge_degree', 0.13915857605177995), ('priors_count', 0.030744336569579287), ('race', 0.0016181229773462784), ('sex', 0.04854368932038835), ('two_year_recid', 0.3220064724919094), ('unrelated_column_one', 0.3058252427184466), ('unrelated_column_two', 0.13592233009708737)]}
anchors;shap;one_unrelated_features;0.68;0.44703851157813584;0.6455823293172691;{1: [('age', 0.016181229773462782), ('c_charge_degree', 0.0016181229773462784), ('length_of_stay', 0.0744336569579288), ('priors_count', 0.008090614886731391), ('race', 0.12297734627831715), ('two_year_recid', 0.0016181229773462784), ('unrelated_column_one', 0.7750809061488673)], 2: [('age', 0.10032362459546926), ('c_charge_degree', 0.009708737864077669), ('length_of_stay', 0.08737864077669903), ('priors_count', 0.08576051779935275), ('race', 0.5242718446601942), ('two_year_recid', 0.045307443365695796), ('unrelated_column_one', 0.13592233009708737), ('unrelated_column_two', 0.011326860841423949)], 3: [('age', 0.255663430420712), ('c_charge_degree', 0.05177993527508091), ('length_of_stay', 0.06634304207119741), ('priors_count', 0.1779935275080906), ('race', 0.19093851132686085), ('two_year_recid', 0.15210355987055016), ('unrelated_column_one', 0.06957928802588997), ('unrelated_column_two', 0.03559870550161812)]}
anchors;shap;two_unrelated_features;0.66;1.0234127405537357;0.6275510204081632;{1: [('age', 0.042071197411003236), ('c_charge_degree', 0.0048543689320388345), ('length_of_stay', 0.05501618122977346), ('priors_count', 0.06796116504854369), ('race', 0.11650485436893204), ('two_year_recid', 0.0016181229773462784), ('unrelated_column_one', 0.3187702265372168), ('unrelated_column_two', 0.3932038834951456)], 2: [('age', 0.043689320388349516), ('c_charge_degree', 0.01779935275080906), ('length_of_stay', 0.05825242718446602), ('priors_count', 0.04692556634304207), ('race', 0.26537216828478966), ('two_year_recid', 0.012944983818770227), ('unrelated_column_one', 0.32038834951456313), ('unrelated_column_two', 0.23462783171521034)], 3: [('age', 0.2459546925566343), ('c_charge_degree', 0.02912621359223301), ('length_of_stay', 0.11650485436893204), ('priors_count', 0.10841423948220065), ('race', 0.255663430420712), ('two_year_recid', 0.025889967637540454), ('unrelated_column_one', 0.156957928802589), ('unrelated_column_two', 0.061488673139158574)]}
explan;anchors;one_unrelated_features;0.74;1.6630015766300787;0.8978244561140285;{1: [('age', 0.10679611650485436), ('length_of_stay', 0.06796116504854369), ('priors_count', 0.10032362459546926), ('race', 0.6245954692556634), ('unrelated_column_one', 0.10032362459546926)], 2: [('Nothing shown', 0.09385113268608414), ('age', 0.10355987055016182), ('c_charge_degree', 0.016181229773462782), ('length_of_stay', 0.06796116504854369), ('priors_count', 0.127831715210356), ('race', 0.06634304207119741), ('sex', 0.016181229773462782), ('two_year_recid', 0.0048543689320388345), ('unrelated_column_one', 0.5032362459546925)], 3: [('Nothing shown', 0.551779935275081), ('age', 0.0825242718446602), ('c_charge_degree', 0.043689320388349516), ('length_of_stay', 0.04854368932038835), ('priors_count', 0.08737864077669903), ('race', 0.0372168284789644), ('sex', 0.022653721682847898), ('two_year_recid', 0.045307443365695796), ('unrelated_column_one', 0.06472491909385113), ('unrelated_column_two', 0.016181229773462782)]}
explan;anchors;two_unrelated_features;0.74;2.965395067049854;0.900225056264066;{1: [('age', 0.23462783171521034), ('c_charge_degree', 0.0016181229773462784), ('length_of_stay', 0.13268608414239483), ('priors_count', 0.24919093851132687), ('race', 0.37540453074433655), ('two_year_recid', 0.003236245954692557), ('unrelated_column_two', 0.003236245954692557)], 2: [('Nothing shown', 0.0889967637540453), ('age', 0.1488673139158576), ('c_charge_degree', 0.04854368932038835), ('length_of_stay', 0.16828478964401294), ('priors_count', 0.22491909385113268), ('race', 0.20388349514563106), ('sex', 0.016181229773462782), ('two_year_recid', 0.032362459546925564), ('unrelated_column_one', 0.021035598705501618), ('unrelated_column_two', 0.04692556634304207)], 3: [('Nothing shown', 0.11974110032362459), ('age', 0.08090614886731391), ('c_charge_degree', 0.08414239482200647), ('length_of_stay', 0.1262135922330097), ('priors_count', 0.127831715210356), ('race', 0.13915857605177995), ('sex', 0.061488673139158574), ('two_year_recid', 0.10679611650485436), ('unrelated_column_one', 0.06957928802588997), ('unrelated_column_two', 0.08414239482200647)]}
