perturbation_multiplier;fidelity_error;fooled_heuristic;ood_error;summary;number_preds;number_perturbation_preds;replication_rate
1;0.08999999999999997;0.7565389483469432;0.19444444444444442;{1: [('Gender', 0.15), ('LoanAmount', 0.02), ('LoanRateAsPercentOfIncome', 0.58), ('NumberOfLiableIndividuals', 0.07), ('NumberOfOtherLoansAtBank', 0.16), ('OtherLoansAtBank', 0.16), ('YearsAtCurrentHome', 0.02)], 2: [('Age', 0.13), ('Gender', 0.29), ('LoanAmount', 0.04), ('LoanDuration', 0.1), ('LoanRateAsPercentOfIncome', 0.09), ('Nothing shown', 0.01), ('NumberOfLiableIndividuals', 0.01), ('NumberOfOtherLoansAtBank', 0.15), ('OtherLoansAtBank', 0.15), ('Single', 0.02), ('Unemployed', 0.01), ('YearsAtCurrentHome', 0.15)], 3: [('Age', 0.17), ('CheckingAccountBalance_geq_200', 0.01), ('Gender', 0.27), ('HasCoapplicant', 0.02), ('LoanAmount', 0.08), ('LoanDuration', 0.08), ('LoanRateAsPercentOfIncome', 0.07), ('Nothing shown', 0.03), ('NumberOfOtherLoansAtBank', 0.1), ('OtherLoansAtBank', 0.1), ('SavingsAccountBalance_geq_100', 0.01), ('Single', 0.09), ('YearsAtCurrentHome', 0.06), ('YearsAtCurrentJob_lt_1', 0.01)]};81.0;82.0;0.006666666666666667
2;0.16000000000000003;0.3636933463420321;0.09305555555555556;{1: [('Age', 0.01), ('LoanAmount', 0.02), ('LoanDuration', 0.01), ('LoanRateAsPercentOfIncome', 0.75), ('NumberOfLiableIndividuals', 0.08), ('NumberOfOtherLoansAtBank', 0.12), ('OtherLoansAtBank', 0.12), ('YearsAtCurrentHome', 0.01)], 2: [('Age', 0.13), ('Gender', 0.05), ('HasGuarantor', 0.01), ('LoanAmount', 0.08), ('LoanDuration', 0.09), ('LoanRateAsPercentOfIncome', 0.15), ('Nothing shown', 0.03), ('NumberOfLiableIndividuals', 0.02), ('NumberOfOtherLoansAtBank', 0.18), ('OtherLoansAtBank', 0.18), ('Single', 0.06), ('YearsAtCurrentHome', 0.2)], 3: [('Age', 0.21), ('ForeignWorker', 0.01), ('Gender', 0.34), ('HasCoapplicant', 0.01), ('HasGuarantor', 0.01), ('HasTelephone', 0.01), ('LoanAmount', 0.05), ('LoanDuration', 0.04), ('LoanRateAsPercentOfIncome', 0.02), ('Nothing shown', 0.07), ('NumberOfOtherLoansAtBank', 0.07), ('OtherLoansAtBank', 0.08), ('Single', 0.09), ('Unemployed', 0.01), ('YearsAtCurrentHome', 0.05)]};70.0;71.0;0.006111111111111111
3;0.22999999999999998;0.20414502525051603;0.051851851851851816;{1: [('Age', 0.01), ('LoanDuration', 0.02), ('LoanRateAsPercentOfIncome', 0.85), ('NumberOfLiableIndividuals', 0.02), ('NumberOfOtherLoansAtBank', 0.1), ('OtherLoansAtBank', 0.1)], 2: [('Age', 0.08), ('Gender', 0.1), ('LoanAmount', 0.09), ('LoanDuration', 0.06), ('LoanRateAsPercentOfIncome', 0.08), ('Nothing shown', 0.16), ('NumberOfLiableIndividuals', 0.13), ('NumberOfOtherLoansAtBank', 0.16), ('OtherLoansAtBank', 0.16), ('Single', 0.01), ('YearsAtCurrentHome', 0.13)], 3: [('Age', 0.09), ('ForeignWorker', 0.01), ('Gender', 0.14), ('HasCoapplicant', 0.02), ('HasGuarantor', 0.01), ('JobClassIsSkilled', 0.01), ('LoanAmount', 0.05), ('LoanDuration', 0.1), ('Nothing shown', 0.18), ('NumberOfOtherLoansAtBank', 0.13), ('OtherLoansAtBank', 0.15), ('OwnsHouse', 0.01), ('RentsHouse', 0.01), ('Single', 0.12), ('Unemployed', 0.02), ('YearsAtCurrentHome', 0.08)]};58.0;60.0;0.004074074074074074
4;0.30000000000000004;0.10413615049082298;0.04861111111111116;{1: [('LoanRateAsPercentOfIncome', 0.94), ('NumberOfOtherLoansAtBank', 0.05), ('OtherLoansAtBank', 0.05), ('YearsAtCurrentHome', 0.01)], 2: [('Age', 0.12), ('CheckingAccountBalance_geq_200', 0.01), ('Gender', 0.05), ('LoanAmount', 0.08), ('LoanDuration', 0.05), ('LoanRateAsPercentOfIncome', 0.01), ('MissedPayments', 0.01), ('NoCurrentLoan', 0.01), ('Nothing shown', 0.12), ('NumberOfLiableIndividuals', 0.16), ('NumberOfOtherLoansAtBank', 0.24), ('OtherLoansAtBank', 0.25), ('Single', 0.04), ('YearsAtCurrentHome', 0.09)], 3: [('Age', 0.09), ('ForeignWorker', 0.01), ('Gender', 0.23), ('HasGuarantor', 0.03), ('LoanAmount', 0.04), ('LoanDuration', 0.08), ('LoanRateAsPercentOfIncome', 0.01), ('Nothing shown', 0.18), ('NumberOfOtherLoansAtBank', 0.08), ('OtherLoansAtBank', 0.08), ('RentsHouse', 0.01), ('Single', 0.11), ('YearsAtCurrentHome', 0.12), ('YearsAtCurrentJob_geq_4', 0.01)]};50.0;52.0;0.006666666666666667
5;0.38;0.04546244894688393;0.018888888888888844;{1: [('LoanRateAsPercentOfIncome', 0.95), ('NumberOfOtherLoansAtBank', 0.05), ('OtherLoansAtBank', 0.05)], 2: [('Age', 0.11), ('Gender', 0.01), ('HasGuarantor', 0.01), ('LoanAmount', 0.08), ('LoanDuration', 0.09), ('Nothing shown', 0.23), ('NumberOfLiableIndividuals', 0.14), ('NumberOfOtherLoansAtBank', 0.22), ('OtherLoansAtBank', 0.22), ('YearsAtCurrentHome', 0.11)], 3: [('Age', 0.08), ('Gender', 0.03), ('HasCoapplicant', 0.02), ('JobClassIsSkilled', 0.02), ('LoanAmount', 0.09), ('LoanDuration', 0.09), ('MissedPayments', 0.01), ('NoCurrentLoan', 0.01), ('Nothing shown', 0.4), ('NumberOfLiableIndividuals', 0.01), ('NumberOfOtherLoansAtBank', 0.08), ('OtherLoansAtBank', 0.09), ('OwnsHouse', 0.01), ('Single', 0.07), ('YearsAtCurrentHome', 0.05), ('YearsAtCurrentJob_geq_4', 0.01), ('YearsAtCurrentJob_lt_1', 0.01)]};38.0;41.0;0.007333333333333333
6;0.4;0.052251652355151;0.014814814814814836;{1: [('LoanRateAsPercentOfIncome', 0.96), ('NumberOfOtherLoansAtBank', 0.04), ('OtherLoansAtBank', 0.04)], 2: [('Age', 0.16), ('CriticalAccountOrLoansElsewhere', 0.01), ('Gender', 0.02), ('HasCoapplicant', 0.01), ('LoanAmount', 0.11), ('LoanDuration', 0.1), ('LoanRateAsPercentOfIncome', 0.01), ('Nothing shown', 0.17), ('NumberOfLiableIndividuals', 0.14), ('NumberOfOtherLoansAtBank', 0.13), ('OtherLoansAtBank', 0.13), ('Single', 0.02), ('YearsAtCurrentHome', 0.12)], 3: [('Age', 0.1), ('CheckingAccountBalance_geq_200', 0.01), ('Gender', 0.05), ('HasTelephone', 0.02), ('LoanAmount', 0.05), ('LoanDuration', 0.08), ('LoanRateAsPercentOfIncome', 0.01), ('NoCurrentLoan', 0.01), ('Nothing shown', 0.4), ('NumberOfOtherLoansAtBank', 0.05), ('OtherLoansAtBank', 0.05), ('OwnsHouse', 0.01), ('RentsHouse', 0.01), ('Single', 0.07), ('YearsAtCurrentHome', 0.12), ('YearsAtCurrentJob_lt_1', 0.01)]};38.0;38.0;0.0033333333333333335
7;0.39;0.027028862101664552;0.017063492063492114;{1: [('LoanRateAsPercentOfIncome', 0.98), ('NumberOfOtherLoansAtBank', 0.02), ('OtherLoansAtBank', 0.02)], 2: [('Age', 0.13), ('Gender', 0.01), ('HasGuarantor', 0.01), ('LoanAmount', 0.06), ('LoanDuration', 0.07), ('Nothing shown', 0.27), ('NumberOfLiableIndividuals', 0.17), ('NumberOfOtherLoansAtBank', 0.17), ('OtherLoansAtBank', 0.17), ('Single', 0.01), ('YearsAtCurrentHome', 0.1)], 3: [('Age', 0.09), ('CriticalAccountOrLoansElsewhere', 0.01), ('ForeignWorker', 0.01), ('Gender', 0.03), ('HasCoapplicant', 0.01), ('LoanAmount', 0.04), ('LoanDuration', 0.05), ('NoCurrentLoan', 0.02), ('Nothing shown', 0.45), ('NumberOfLiableIndividuals', 0.03), ('NumberOfOtherLoansAtBank', 0.09), ('OtherLoansAtBank', 0.1), ('RentsHouse', 0.01), ('Single', 0.04), ('YearsAtCurrentHome', 0.11)]};33.0;36.0;0.005238095238095238
8;0.4;0.030459182411683414;0.011458333333333348;{1: [('LoanRateAsPercentOfIncome', 0.97), ('NumberOfOtherLoansAtBank', 0.03), ('OtherLoansAtBank', 0.03)], 2: [('Age', 0.11), ('LoanAmount', 0.09), ('LoanDuration', 0.11), ('LoanRateAsPercentOfIncome', 0.01), ('MissedPayments', 0.01), ('Nothing shown', 0.35), ('NumberOfLiableIndividuals', 0.13), ('NumberOfOtherLoansAtBank', 0.09), ('OtherLoansAtBank', 0.09), ('YearsAtCurrentHome', 0.1)], 3: [('Age', 0.06), ('Gender', 0.03), ('HasGuarantor', 0.01), ('LoanAmount', 0.11), ('LoanDuration', 0.09), ('NoCurrentLoan', 0.01), ('Nothing shown', 0.46), ('NumberOfLiableIndividuals', 0.01), ('NumberOfOtherLoansAtBank', 0.05), ('OtherLoansAtBank', 0.05), ('Single', 0.11), ('YearsAtCurrentHome', 0.06)]};33.0;36.0;0.004027777777777778
9;0.41000000000000003;0.020202690506276638;0.010185185185185186;{1: [('LoanRateAsPercentOfIncome', 0.98), ('NumberOfOtherLoansAtBank', 0.02), ('OtherLoansAtBank', 0.02)], 2: [('Age', 0.07), ('HasCoapplicant', 0.01), ('LoanAmount', 0.05), ('LoanDuration', 0.14), ('MissedPayments', 0.01), ('Nothing shown', 0.48), ('NumberOfLiableIndividuals', 0.1), ('NumberOfOtherLoansAtBank', 0.08), ('OtherLoansAtBank', 0.08), ('Single', 0.01), ('YearsAtCurrentHome', 0.05)], 3: [('Age', 0.05), ('CriticalAccountOrLoansElsewhere', 0.01), ('Gender', 0.02), ('LoanAmount', 0.07), ('LoanDuration', 0.05), ('MissedPayments', 0.02), ('Nothing shown', 0.59), ('NumberOfLiableIndividuals', 0.01), ('NumberOfOtherLoansAtBank', 0.07), ('OtherLoansAtBank', 0.07), ('OwnsHouse', 0.01), ('Single', 0.05), ('YearsAtCurrentHome', 0.01), ('YearsAtCurrentJob_geq_4', 0.03), ('YearsAtCurrentJob_lt_1', 0.01)]};32.0;32.0;0.0034567901234567903
10;0.43000000000000005;0.04290880105275918;0.006388888888888888;{1: [('LoanRateAsPercentOfIncome', 0.97), ('NumberOfLiableIndividuals', 0.01), ('NumberOfOtherLoansAtBank', 0.02), ('OtherLoansAtBank', 0.02)], 2: [('Age', 0.07), ('LoanAmount', 0.09), ('LoanDuration', 0.06), ('Nothing shown', 0.48), ('NumberOfLiableIndividuals', 0.09), ('NumberOfOtherLoansAtBank', 0.1), ('OtherLoansAtBank', 0.11), ('YearsAtCurrentHome', 0.09), ('YearsAtCurrentJob_geq_4', 0.01)], 3: [('Age', 0.03), ('Gender', 0.07), ('HasTelephone', 0.02), ('LoanAmount', 0.04), ('LoanDuration', 0.08), ('NoCurrentLoan', 0.01), ('Nothing shown', 0.52), ('NumberOfLiableIndividuals', 0.04), ('NumberOfOtherLoansAtBank', 0.03), ('OtherLoansAtBank', 0.04), ('RentsHouse', 0.02), ('SavingsAccountBalance_geq_500', 0.01), ('Single', 0.06), ('YearsAtCurrentHome', 0.04), ('YearsAtCurrentJob_geq_4', 0.02)]};24.0;24.0;0.0034444444444444444
