perturbation_multiplier;fidelity_error;fooled_heuristic;ood_error;summary;number_preds;number_perturbation_preds;replication_rate
1;0.07999999999999996;0.47292738166886866;0.5416666666666667;{1: [('Age', 0.06), ('Gender', 0.07), ('LoanAmount', 0.06), ('LoanDuration', 0.02), ('LoanRateAsPercentOfIncome', 0.43), ('NumberOfLiableIndividuals', 0.19), ('NumberOfOtherLoansAtBank', 0.1), ('OtherLoansAtBank', 0.1), ('SavingsAccountBalance_geq_500', 0.01), ('YearsAtCurrentHome', 0.06)], 2: [('Age', 0.09), ('ForeignWorker', 0.01), ('Gender', 0.12), ('HasTelephone', 0.02), ('LoanAmount', 0.06), ('LoanDuration', 0.03), ('LoanRateAsPercentOfIncome', 0.13), ('MissedPayments', 0.02), ('Nothing shown', 0.17), ('NumberOfLiableIndividuals', 0.11), ('NumberOfOtherLoansAtBank', 0.08), ('OtherLoansAtBank', 0.08), ('OwnsHouse', 0.03), ('RentsHouse', 0.01), ('Single', 0.04), ('YearsAtCurrentHome', 0.08)], 3: [('Age', 0.03), ('Gender', 0.09), ('HasCoapplicant', 0.01), ('HasGuarantor', 0.01), ('JobClassIsSkilled', 0.01), ('LoanAmount', 0.06), ('LoanDuration', 0.04), ('LoanRateAsPercentOfIncome', 0.06), ('MissedPayments', 0.01), ('NoCurrentLoan', 0.01), ('Nothing shown', 0.26), ('NumberOfLiableIndividuals', 0.01), ('NumberOfOtherLoansAtBank', 0.06), ('OtherLoansAtBank', 0.07), ('OwnsHouse', 0.03), ('RentsHouse', 0.01), ('SavingsAccountBalance_geq_500', 0.01), ('Single', 0.19), ('YearsAtCurrentHome', 0.06), ('YearsAtCurrentJob_lt_1', 0.03)]};83.0;85.0;0.0
2;0.06999999999999995;0.41662118995644043;0.22916666666666663;{1: [('Age', 0.06), ('Gender', 0.07), ('LoanAmount', 0.05), ('LoanDuration', 0.01), ('LoanRateAsPercentOfIncome', 0.47), ('NumberOfLiableIndividuals', 0.22), ('NumberOfOtherLoansAtBank', 0.08), ('OtherLoansAtBank', 0.08), ('YearsAtCurrentHome', 0.04)], 2: [('Age', 0.03), ('Gender', 0.09), ('JobClassIsSkilled', 0.01), ('LoanAmount', 0.06), ('LoanDuration', 0.06), ('LoanRateAsPercentOfIncome', 0.16), ('Nothing shown', 0.19), ('NumberOfLiableIndividuals', 0.06), ('NumberOfOtherLoansAtBank', 0.14), ('OtherLoansAtBank', 0.14), ('OwnsHouse', 0.02), ('RentsHouse', 0.03), ('Single', 0.09), ('Unemployed', 0.01), ('YearsAtCurrentHome', 0.05)], 3: [('Age', 0.03), ('CheckingAccountBalance_geq_200', 0.02), ('CriticalAccountOrLoansElsewhere', 0.03), ('Gender', 0.09), ('JobClassIsSkilled', 0.02), ('LoanAmount', 0.09), ('LoanDuration', 0.02), ('LoanRateAsPercentOfIncome', 0.05), ('Nothing shown', 0.28), ('NumberOfLiableIndividuals', 0.06), ('NumberOfOtherLoansAtBank', 0.09), ('OtherLoansAtBank', 0.09), ('RentsHouse', 0.03), ('SavingsAccountBalance_geq_100', 0.01), ('Single', 0.09), ('YearsAtCurrentHome', 0.08), ('YearsAtCurrentJob_lt_1', 0.01)]};84.0;86.0;0.0
3;0.18999999999999995;0.24511246617566684;0.1703703703703704;{1: [('Age', 0.06), ('Gender', 0.04), ('LoanAmount', 0.08), ('LoanDuration', 0.03), ('LoanRateAsPercentOfIncome', 0.52), ('NumberOfLiableIndividuals', 0.11), ('NumberOfOtherLoansAtBank', 0.08), ('OtherLoansAtBank', 0.08), ('SavingsAccountBalance_geq_100', 0.01), ('YearsAtCurrentHome', 0.07)], 2: [('Age', 0.06), ('CheckingAccountBalance_geq_0', 0.01), ('CheckingAccountBalance_geq_200', 0.01), ('Gender', 0.06), ('HasTelephone', 0.01), ('LoanAmount', 0.11), ('LoanDuration', 0.04), ('LoanRateAsPercentOfIncome', 0.15), ('Nothing shown', 0.34), ('NumberOfLiableIndividuals', 0.02), ('NumberOfOtherLoansAtBank', 0.09), ('OtherLoansAtBank', 0.09), ('OwnsHouse', 0.01), ('Single', 0.03), ('YearsAtCurrentHome', 0.04), ('YearsAtCurrentJob_geq_4', 0.02)], 3: [('Age', 0.05), ('CriticalAccountOrLoansElsewhere', 0.04), ('Gender', 0.04), ('HasTelephone', 0.03), ('LoanAmount', 0.06), ('LoanDuration', 0.02), ('LoanRateAsPercentOfIncome', 0.04), ('MissedPayments', 0.01), ('Nothing shown', 0.45), ('NumberOfLiableIndividuals', 0.04), ('NumberOfOtherLoansAtBank', 0.05), ('OtherLoansAtBank', 0.06), ('SavingsAccountBalance_geq_100', 0.01), ('SavingsAccountBalance_geq_500', 0.01), ('Single', 0.07), ('YearsAtCurrentHome', 0.05), ('YearsAtCurrentJob_geq_4', 0.01), ('YearsAtCurrentJob_lt_1', 0.01)]};64.0;66.0;0.0
4;0.26;0.14126894023215336;0.13541666666666663;{1: [('Age', 0.03), ('LoanAmount', 0.14), ('LoanDuration', 0.05), ('LoanRateAsPercentOfIncome', 0.63), ('NumberOfLiableIndividuals', 0.04), ('NumberOfOtherLoansAtBank', 0.07), ('OtherLoansAtBank', 0.07), ('Single', 0.01), ('YearsAtCurrentHome', 0.03)], 2: [('Age', 0.09), ('Gender', 0.03), ('HasGuarantor', 0.01), ('HasTelephone', 0.01), ('LoanAmount', 0.02), ('LoanDuration', 0.09), ('LoanRateAsPercentOfIncome', 0.09), ('Nothing shown', 0.44), ('NumberOfLiableIndividuals', 0.06), ('NumberOfOtherLoansAtBank', 0.06), ('OtherLoansAtBank', 0.07), ('OwnsHouse', 0.01), ('Single', 0.03), ('YearsAtCurrentHome', 0.04), ('YearsAtCurrentJob_lt_1', 0.01)], 3: [('Age', 0.08), ('CriticalAccountOrLoansElsewhere', 0.01), ('Gender', 0.05), ('HasTelephone', 0.01), ('JobClassIsSkilled', 0.01), ('LoanAmount', 0.06), ('LoanDuration', 0.02), ('LoanRateAsPercentOfIncome', 0.04), ('Nothing shown', 0.49), ('NumberOfLiableIndividuals', 0.03), ('NumberOfOtherLoansAtBank', 0.04), ('OtherLoansAtBank', 0.04), ('OwnsHouse', 0.01), ('RentsHouse', 0.02), ('SavingsAccountBalance_geq_500', 0.02), ('Single', 0.03), ('Unemployed', 0.01), ('YearsAtCurrentHome', 0.05), ('YearsAtCurrentJob_geq_4', 0.02)]};54.0;55.0;0.0
5;0.27;0.15754044619085775;0.10166666666666668;{1: [('Age', 0.09), ('Gender', 0.01), ('LoanAmount', 0.09), ('LoanDuration', 0.03), ('LoanRateAsPercentOfIncome', 0.62), ('NumberOfLiableIndividuals', 0.09), ('NumberOfOtherLoansAtBank', 0.03), ('OtherLoansAtBank', 0.03), ('Single', 0.01), ('YearsAtCurrentHome', 0.03)], 2: [('Age', 0.08), ('CheckingAccountBalance_geq_0', 0.01), ('CheckingAccountBalance_geq_200', 0.01), ('CriticalAccountOrLoansElsewhere', 0.02), ('Gender', 0.03), ('HasGuarantor', 0.01), ('HasTelephone', 0.01), ('LoanAmount', 0.03), ('LoanDuration', 0.03), ('LoanRateAsPercentOfIncome', 0.1), ('Nothing shown', 0.44), ('NumberOfLiableIndividuals', 0.06), ('NumberOfOtherLoansAtBank', 0.03), ('OtherLoansAtBank', 0.03), ('OwnsHouse', 0.01), ('SavingsAccountBalance_geq_100', 0.01), ('SavingsAccountBalance_geq_500', 0.02), ('Single', 0.04), ('YearsAtCurrentHome', 0.06)], 3: [('Age', 0.04), ('CriticalAccountOrLoansElsewhere', 0.01), ('Gender', 0.05), ('HasTelephone', 0.02), ('JobClassIsSkilled', 0.01), ('LoanAmount', 0.05), ('LoanDuration', 0.06), ('LoanRateAsPercentOfIncome', 0.05), ('MissedPayments', 0.01), ('Nothing shown', 0.5), ('NumberOfLiableIndividuals', 0.02), ('NumberOfOtherLoansAtBank', 0.03), ('OtherLoansAtBank', 0.03), ('OwnsHouse', 0.01), ('SavingsAccountBalance_geq_100', 0.01), ('Single', 0.07), ('YearsAtCurrentHome', 0.05), ('YearsAtCurrentJob_geq_4', 0.01)]};44.0;46.0;0.0
6;0.31000000000000005;0.1361654570674002;0.08981481481481479;{1: [('Age', 0.06), ('LoanAmount', 0.1), ('LoanDuration', 0.04), ('LoanRateAsPercentOfIncome', 0.69), ('NumberOfLiableIndividuals', 0.04), ('NumberOfOtherLoansAtBank', 0.01), ('OtherLoansAtBank', 0.01), ('Single', 0.01), ('YearsAtCurrentHome', 0.05)], 2: [('Age', 0.08), ('CheckingAccountBalance_geq_200', 0.01), ('CriticalAccountOrLoansElsewhere', 0.01), ('Gender', 0.04), ('HasGuarantor', 0.01), ('HasTelephone', 0.01), ('JobClassIsSkilled', 0.03), ('LoanAmount', 0.04), ('LoanDuration', 0.02), ('LoanRateAsPercentOfIncome', 0.06), ('Nothing shown', 0.5), ('NumberOfLiableIndividuals', 0.02), ('NumberOfOtherLoansAtBank', 0.04), ('OtherLoansAtBank', 0.04), ('RentsHouse', 0.02), ('Single', 0.03), ('YearsAtCurrentHome', 0.04), ('YearsAtCurrentJob_geq_4', 0.01), ('YearsAtCurrentJob_lt_1', 0.03)], 3: [('Age', 0.05), ('CheckingAccountBalance_geq_0', 0.01), ('CriticalAccountOrLoansElsewhere', 0.01), ('Gender', 0.04), ('HasTelephone', 0.02), ('JobClassIsSkilled', 0.02), ('LoanAmount', 0.03), ('LoanDuration', 0.05), ('LoanRateAsPercentOfIncome', 0.03), ('NoCurrentLoan', 0.01), ('Nothing shown', 0.52), ('NumberOfLiableIndividuals', 0.05), ('NumberOfOtherLoansAtBank', 0.03), ('OtherLoansAtBank', 0.04), ('OwnsHouse', 0.02), ('SavingsAccountBalance_geq_100', 0.01), ('Single', 0.04), ('YearsAtCurrentHome', 0.02), ('YearsAtCurrentJob_geq_4', 0.02), ('YearsAtCurrentJob_lt_1', 0.01)]};36.0;40.0;0.0
7;0.39;0.10413614905197376;0.09246031746031746;{1: [('Age', 0.04), ('Gender', 0.01), ('LoanAmount', 0.08), ('LoanDuration', 0.05), ('LoanRateAsPercentOfIncome', 0.72), ('NumberOfLiableIndividuals', 0.04), ('NumberOfOtherLoansAtBank', 0.03), ('OtherLoansAtBank', 0.03), ('YearsAtCurrentHome', 0.03)], 2: [('Age', 0.07), ('CheckingAccountBalance_geq_0', 0.01), ('Gender', 0.02), ('LoanAmount', 0.05), ('LoanDuration', 0.03), ('LoanRateAsPercentOfIncome', 0.06), ('Nothing shown', 0.56), ('NumberOfLiableIndividuals', 0.02), ('NumberOfOtherLoansAtBank', 0.02), ('OtherLoansAtBank', 0.02), ('RentsHouse', 0.02), ('SavingsAccountBalance_geq_500', 0.01), ('Single', 0.07), ('YearsAtCurrentHome', 0.05), ('YearsAtCurrentJob_geq_4', 0.01)], 3: [('Age', 0.05), ('CheckingAccountBalance_geq_0', 0.02), ('CriticalAccountOrLoansElsewhere', 0.01), ('Gender', 0.03), ('LoanAmount', 0.05), ('LoanDuration', 0.04), ('LoanRateAsPercentOfIncome', 0.03), ('MissedPayments', 0.01), ('Nothing shown', 0.57), ('NumberOfLiableIndividuals', 0.03), ('NumberOfOtherLoansAtBank', 0.06), ('OtherLoansAtBank', 0.06), ('RentsHouse', 0.01), ('SavingsAccountBalance_geq_100', 0.02), ('SavingsAccountBalance_geq_500', 0.01), ('Single', 0.01), ('YearsAtCurrentHome', 0.04), ('YearsAtCurrentJob_geq_4', 0.01)]};35.0;35.0;0.0
8;0.41000000000000003;0.07012278679326284;0.0708333333333333;{1: [('Age', 0.02), ('Gender', 0.01), ('LoanAmount', 0.04), ('LoanDuration', 0.06), ('LoanRateAsPercentOfIncome', 0.78), ('NumberOfLiableIndividuals', 0.04), ('NumberOfOtherLoansAtBank', 0.01), ('OtherLoansAtBank', 0.01), ('YearsAtCurrentHome', 0.03), ('YearsAtCurrentJob_geq_4', 0.01)], 2: [('Age', 0.08), ('CriticalAccountOrLoansElsewhere', 0.01), ('Gender', 0.02), ('JobClassIsSkilled', 0.03), ('LoanAmount', 0.1), ('LoanDuration', 0.02), ('LoanRateAsPercentOfIncome', 0.04), ('Nothing shown', 0.61), ('NumberOfLiableIndividuals', 0.01), ('OwnsHouse', 0.01), ('Single', 0.03), ('Unemployed', 0.01), ('YearsAtCurrentHome', 0.02), ('YearsAtCurrentJob_lt_1', 0.01)], 3: [('Age', 0.07), ('Gender', 0.01), ('HasTelephone', 0.02), ('JobClassIsSkilled', 0.01), ('LoanAmount', 0.04), ('LoanDuration', 0.04), ('LoanRateAsPercentOfIncome', 0.04), ('Nothing shown', 0.65), ('NumberOfLiableIndividuals', 0.03), ('NumberOfOtherLoansAtBank', 0.01), ('OtherLoansAtBank', 0.01), ('OwnsHouse', 0.02), ('SavingsAccountBalance_geq_100', 0.01), ('Single', 0.02), ('YearsAtCurrentHome', 0.01), ('YearsAtCurrentJob_geq_4', 0.01), ('YearsAtCurrentJob_lt_1', 0.01)]};23.0;24.0;0.0
9;0.43000000000000005;0.05426583427668249;0.06944444444444442;{1: [('Age', 0.04), ('LoanAmount', 0.07), ('LoanDuration', 0.02), ('LoanRateAsPercentOfIncome', 0.78), ('NumberOfLiableIndividuals', 0.02), ('NumberOfOtherLoansAtBank', 0.06), ('OtherLoansAtBank', 0.06), ('YearsAtCurrentHome', 0.01)], 2: [('Age', 0.03), ('ForeignWorker', 0.01), ('Gender', 0.02), ('HasTelephone', 0.01), ('LoanAmount', 0.05), ('LoanDuration', 0.02), ('LoanRateAsPercentOfIncome', 0.07), ('Nothing shown', 0.64), ('NumberOfLiableIndividuals', 0.01), ('NumberOfOtherLoansAtBank', 0.02), ('OtherLoansAtBank', 0.02), ('OwnsHouse', 0.02), ('Single', 0.01), ('YearsAtCurrentHome', 0.08), ('YearsAtCurrentJob_geq_4', 0.01)], 3: [('Age', 0.04), ('CheckingAccountBalance_geq_0', 0.02), ('CheckingAccountBalance_geq_200', 0.01), ('Gender', 0.01), ('HasGuarantor', 0.01), ('HasTelephone', 0.01), ('LoanAmount', 0.02), ('LoanDuration', 0.04), ('LoanRateAsPercentOfIncome', 0.04), ('Nothing shown', 0.68), ('NumberOfLiableIndividuals', 0.01), ('NumberOfOtherLoansAtBank', 0.03), ('OtherLoansAtBank', 0.03), ('RentsHouse', 0.02), ('SavingsAccountBalance_geq_500', 0.02), ('Single', 0.01), ('YearsAtCurrentJob_geq_4', 0.02), ('YearsAtCurrentJob_lt_1', 0.01)]};17.0;17.0;0.0
10;0.47;0.01927866886184572;0.0494444444444444;{1: [('Age', 0.03), ('LoanAmount', 0.11), ('LoanRateAsPercentOfIncome', 0.79), ('NumberOfLiableIndividuals', 0.03), ('YearsAtCurrentHome', 0.03), ('YearsAtCurrentJob_geq_4', 0.01)], 2: [('Age', 0.04), ('Gender', 0.01), ('JobClassIsSkilled', 0.02), ('LoanAmount', 0.04), ('LoanDuration', 0.02), ('LoanRateAsPercentOfIncome', 0.06), ('Nothing shown', 0.73), ('NumberOfLiableIndividuals', 0.03), ('NumberOfOtherLoansAtBank', 0.02), ('OtherLoansAtBank', 0.03), ('Single', 0.01), ('YearsAtCurrentHome', 0.01)], 3: [('Age', 0.02), ('HasTelephone', 0.03), ('JobClassIsSkilled', 0.01), ('LoanAmount', 0.04), ('LoanDuration', 0.01), ('LoanRateAsPercentOfIncome', 0.02), ('Nothing shown', 0.76), ('NumberOfLiableIndividuals', 0.02), ('NumberOfOtherLoansAtBank', 0.03), ('OtherLoansAtBank', 0.03), ('OwnsHouse', 0.01), ('RentsHouse', 0.01), ('SavingsAccountBalance_geq_100', 0.01), ('Single', 0.03)]};15.0;16.0;0.0
