perturbation_multiplier;n_samples_per_tuple;p;val_percent;conversion_method;fidelity_error;fooled_heuristic;ood_error;summary;number_preds;number_perturbation_preds;replication_rate
1.0;1.0;0.4;0.1;0.0;0.27;1.4708037843602486;0.3610248447204969;{1: [('age', 0.0825242718446602), ('length_of_stay', 0.05177993527508091), ('priors_count', 0.043689320388349516), ('race', 0.63915857605178), ('unrelated_column_one', 0.18284789644012944)], 2: [('age', 0.12459546925566344), ('c_charge_degree', 0.059870550161812294), ('length_of_stay', 0.04854368932038835), ('priors_count', 0.16666666666666666), ('race', 0.05501618122977346), ('sex', 0.0048543689320388345), ('two_year_recid', 0.0016181229773462784), ('unrelated_column_one', 0.5388349514563107)], 3: [('Nothing shown', 0.4886731391585761), ('age', 0.0970873786407767), ('c_charge_degree', 0.1262135922330097), ('length_of_stay', 0.09385113268608414), ('priors_count', 0.10032362459546926), ('race', 0.032362459546925564), ('sex', 0.011326860841423949), ('two_year_recid', 0.012944983818770227), ('unrelated_column_one', 0.019417475728155338), ('unrelated_column_two', 0.01779935275080906)]};279.0;285.0;0.4202376665466331
1.0;1.0;0.4;0.1;1.0;0.27;1.317514868808605;0.3610248447204969;{1: [('age', 0.0016181229773462784), ('race', 0.7313915857605178), ('unrelated_column_one', 0.2669902912621359)], 2: [('age', 0.18284789644012944), ('c_charge_degree', 0.05825242718446602), ('length_of_stay', 0.06957928802588997), ('priors_count', 0.1941747572815534), ('sex', 0.008090614886731391), ('unrelated_column_one', 0.48705501618122976)], 3: [('Nothing shown', 0.4886731391585761), ('age', 0.11003236245954692), ('c_charge_degree', 0.11488673139158576), ('length_of_stay', 0.127831715210356), ('priors_count', 0.10841423948220065), ('sex', 0.012944983818770227), ('two_year_recid', 0.019417475728155338), ('unrelated_column_two', 0.01779935275080906)]};279.0;285.0;0.4202376665466331
1.0;1.0;0.4;0.2;0.0;0.27;1.4454172681357171;0.3610248447204969;{1: [('age', 0.10841423948220065), ('length_of_stay', 0.05016181229773463), ('priors_count', 0.08090614886731391), ('race', 0.5744336569579288), ('unrelated_column_one', 0.18608414239482202)], 2: [('age', 0.10032362459546926), ('c_charge_degree', 0.05339805825242718), ('length_of_stay', 0.06796116504854369), ('priors_count', 0.14724919093851133), ('race', 0.08737864077669903), ('sex', 0.0048543689320388345), ('two_year_recid', 0.003236245954692557), ('unrelated_column_one', 0.5339805825242718), ('unrelated_column_two', 0.0016181229773462784)], 3: [('Nothing shown', 0.4854368932038835), ('age', 0.06310679611650485), ('c_charge_degree', 0.059870550161812294), ('length_of_stay', 0.13915857605177995), ('priors_count', 0.0889967637540453), ('race', 0.05663430420711974), ('sex', 0.006472491909385114), ('two_year_recid', 0.05501618122977346), ('unrelated_column_one', 0.021035598705501618), ('unrelated_column_two', 0.024271844660194174)]};279.0;285.0;0.4202376665466331
1.0;1.0;0.4;0.2;1.0;0.27;1.3145006392353087;0.3610248447204969;{1: [('race', 0.7313915857605178), ('unrelated_column_one', 0.2686084142394822)], 2: [('age', 0.17637540453074432), ('c_charge_degree', 0.061488673139158574), ('length_of_stay', 0.07281553398058252), ('priors_count', 0.1925566343042071), ('sex', 0.0048543689320388345), ('two_year_recid', 0.006472491909385114), ('unrelated_column_one', 0.4854368932038835)], 3: [('Nothing shown', 0.4854368932038835), ('age', 0.09061488673139159), ('c_charge_degree', 0.042071197411003236), ('length_of_stay', 0.17313915857605178), ('priors_count', 0.11488673139158576), ('sex', 0.008090614886731391), ('two_year_recid', 0.05016181229773463), ('unrelated_column_two', 0.03559870550161812)]};279.0;285.0;0.4202376665466331
1.0;1.0;0.4;0.3;0.0;0.27;1.4132630272230984;0.3610248447204969;{1: [('age', 0.10194174757281553), ('length_of_stay', 0.045307443365695796), ('priors_count', 0.05501618122977346), ('race', 0.5970873786407767), ('unrelated_column_one', 0.20064724919093851)], 2: [('age', 0.09223300970873786), ('c_charge_degree', 0.06957928802588997), ('length_of_stay', 0.0825242718446602), ('priors_count', 0.1553398058252427), ('race', 0.07119741100323625), ('sex', 0.0016181229773462784), ('two_year_recid', 0.008090614886731391), ('unrelated_column_one', 0.517799352750809), ('unrelated_column_two', 0.0016181229773462784)], 3: [('Nothing shown', 0.4854368932038835), ('age', 0.08576051779935275), ('c_charge_degree', 0.05339805825242718), ('length_of_stay', 0.12135922330097088), ('priors_count', 0.10355987055016182), ('race', 0.04854368932038835), ('sex', 0.0048543689320388345), ('two_year_recid', 0.03559870550161812), ('unrelated_column_one', 0.024271844660194174), ('unrelated_column_two', 0.0372168284789644)]};279.0;285.0;0.4202376665466331
1.0;1.0;0.4;0.3;1.0;0.27;1.3145006392353087;0.3610248447204969;{1: [('race', 0.7313915857605178), ('unrelated_column_one', 0.2686084142394822)], 2: [('age', 0.15857605177993528), ('c_charge_degree', 0.07928802588996764), ('length_of_stay', 0.07281553398058252), ('priors_count', 0.1925566343042071), ('sex', 0.0016181229773462784), ('two_year_recid', 0.008090614886731391), ('unrelated_column_one', 0.4854368932038835), ('unrelated_column_two', 0.0016181229773462784)], 3: [('Nothing shown', 0.48705501618122976), ('age', 0.10679611650485436), ('c_charge_degree', 0.05016181229773463), ('length_of_stay', 0.1553398058252427), ('priors_count', 0.12944983818770225), ('sex', 0.006472491909385114), ('two_year_recid', 0.045307443365695796), ('unrelated_column_two', 0.019417475728155338)]};279.0;285.0;0.4202376665466331
1.0;1.0;0.6;0.1;0.0;0.31999999999999995;0.4543532328951111;0.3687002652519894;{1: [('age', 0.08090614886731391), ('length_of_stay', 0.045307443365695796), ('priors_count', 0.06634304207119741), ('race', 0.05825242718446602), ('unrelated_column_one', 0.7491909385113269)], 2: [('age', 0.10517799352750809), ('c_charge_degree', 0.006472491909385114), ('length_of_stay', 0.09223300970873786), ('priors_count', 0.13106796116504854), ('race', 0.5323624595469255), ('two_year_recid', 0.09223300970873786), ('unrelated_column_one', 0.03559870550161812), ('unrelated_column_two', 0.0048543689320388345)], 3: [('Nothing shown', 0.4886731391585761), ('age', 0.05339805825242718), ('c_charge_degree', 0.016181229773462782), ('length_of_stay', 0.08576051779935275), ('priors_count', 0.09385113268608414), ('race', 0.06472491909385113), ('sex', 0.014563106796116505), ('two_year_recid', 0.05501618122977346), ('unrelated_column_one', 0.019417475728155338), ('unrelated_column_two', 0.10841423948220065)]};213.0;224.0;0.4909974792942024
1.0;1.0;0.6;0.1;1.0;0.31999999999999995;0.3717068176508552;0.3687002652519894;{1: [('age', 0.003236245954692557), ('race', 0.19579288025889968), ('unrelated_column_one', 0.8009708737864077)], 2: [('Nothing shown', 0.0016181229773462784), ('age', 0.1553398058252427), ('c_charge_degree', 0.006472491909385114), ('length_of_stay', 0.10194174757281553), ('priors_count', 0.13754045307443366), ('race', 0.4854368932038835), ('sex', 0.0048543689320388345), ('two_year_recid', 0.09870550161812297), ('unrelated_column_one', 0.003236245954692557), ('unrelated_column_two', 0.0048543689320388345)], 3: [('Nothing shown', 0.49029126213592233), ('age', 0.08414239482200647), ('c_charge_degree', 0.01779935275080906), ('length_of_stay', 0.11326860841423948), ('priors_count', 0.1423948220064725), ('sex', 0.008090614886731391), ('two_year_recid', 0.043689320388349516), ('unrelated_column_two', 0.10032362459546926)]};213.0;224.0;0.4909974792942024
1.0;1.0;0.6;0.2;0.0;0.31999999999999995;0.6053600570815414;0.3687002652519894;{1: [('age', 0.0825242718446602), ('length_of_stay', 0.043689320388349516), ('priors_count', 0.0744336569579288), ('race', 0.14563106796116504), ('unrelated_column_one', 0.6537216828478964)], 2: [('age', 0.0970873786407767), ('c_charge_degree', 0.003236245954692557), ('length_of_stay', 0.06796116504854369), ('priors_count', 0.1407766990291262), ('race', 0.46116504854368934), ('sex', 0.003236245954692557), ('two_year_recid', 0.08576051779935275), ('unrelated_column_one', 0.13268608414239483), ('unrelated_column_two', 0.008090614886731391)], 3: [('Nothing shown', 0.4854368932038835), ('age', 0.0744336569579288), ('c_charge_degree', 0.016181229773462782), ('length_of_stay', 0.09385113268608414), ('priors_count', 0.11812297734627832), ('race', 0.043689320388349516), ('sex', 0.008090614886731391), ('two_year_recid', 0.038834951456310676), ('unrelated_column_one', 0.016181229773462782), ('unrelated_column_two', 0.10517799352750809)]};213.0;224.0;0.4909974792942024
1.0;1.0;0.6;0.2;1.0;0.31999999999999995;0.5075416026345929;0.3687002652519894;{1: [('length_of_stay', 0.003236245954692557), ('race', 0.2750809061488673), ('unrelated_column_one', 0.7216828478964401)], 2: [('age', 0.13754045307443366), ('c_charge_degree', 0.014563106796116505), ('length_of_stay', 0.07766990291262135), ('priors_count', 0.16019417475728157), ('race', 0.40614886731391586), ('sex', 0.009708737864077669), ('two_year_recid', 0.0970873786407767), ('unrelated_column_one', 0.0825242718446602), ('unrelated_column_two', 0.014563106796116505)], 3: [('Nothing shown', 0.48705501618122976), ('age', 0.10032362459546926), ('c_charge_degree', 0.012944983818770227), ('length_of_stay', 0.11974110032362459), ('priors_count', 0.14563106796116504), ('sex', 0.006472491909385114), ('two_year_recid', 0.030744336569579287), ('unrelated_column_two', 0.0970873786407767)]};213.0;224.0;0.4909974792942024
