model;blackbox_version;fidelity;fooled_heuristic;ood_accuracy;summary
anchors;baseline;;;;{1: [('race', 1.0)], 2: [('Nothing shown', 1.0)], 3: [('Nothing shown', 1.0)]}
anchors;one_unrelated_feature;0.68;0.5715225688371185;0.6455823293172691;{1: [('age', 0.05663430420711974), ('length_of_stay', 0.07605177993527508), ('priors_count', 0.043689320388349516), ('race', 0.1423948220064725), ('unrelated_column_one', 0.6812297734627831)], 2: [('age', 0.0970873786407767), ('c_charge_degree', 0.006472491909385114), ('length_of_stay', 0.1488673139158576), ('priors_count', 0.1262135922330097), ('race', 0.48381877022653724), ('sex', 0.0048543689320388345), ('two_year_recid', 0.025889967637540454), ('unrelated_column_one', 0.10517799352750809), ('unrelated_column_two', 0.0016181229773462784)], 3: [('Nothing shown', 0.48705501618122976), ('age', 0.09061488673139159), ('c_charge_degree', 0.030744336569579287), ('length_of_stay', 0.07928802588996764), ('priors_count', 0.13754045307443366), ('race', 0.04692556634304207), ('sex', 0.014563106796116505), ('two_year_recid', 0.06634304207119741), ('unrelated_column_one', 0.016181229773462782), ('unrelated_column_two', 0.030744336569579287)]}
anchors;two_unrelated_features;0.66;1.9410765882794305;0.6275510204081632;{1: [('age', 0.18608414239482202), ('c_charge_degree', 0.025889967637540454), ('length_of_stay', 0.12459546925566344), ('priors_count', 0.11812297734627832), ('race', 0.4401294498381877), ('sex', 0.011326860841423949), ('two_year_recid', 0.02912621359223301), ('unrelated_column_one', 0.011326860841423949), ('unrelated_column_two', 0.05339805825242718)], 2: [('age', 0.06796116504854369), ('c_charge_degree', 0.04854368932038835), ('length_of_stay', 0.13592233009708737), ('priors_count', 0.3559870550161812), ('race', 0.14563106796116504), ('sex', 0.030744336569579287), ('two_year_recid', 0.05663430420711974), ('unrelated_column_one', 0.08414239482200647), ('unrelated_column_two', 0.0744336569579288)], 3: [('age', 0.1343042071197411), ('c_charge_degree', 0.07766990291262135), ('length_of_stay', 0.24271844660194175), ('priors_count', 0.1779935275080906), ('race', 0.05339805825242718), ('sex', 0.019417475728155338), ('two_year_recid', 0.10194174757281553), ('unrelated_column_one', 0.09385113268608414), ('unrelated_column_two', 0.09870550161812297)]}
explan;baseline;;;;{1: [('race', 1.0)], 2: [('Nothing shown', 1.0)], 3: [('Nothing shown', 1.0)]}
explan;one_unrelated_feature;0.72;0.5013827897662603;0.9018754688672168;{1: [('age', 0.032362459546925564), ('c_charge_degree', 0.0048543689320388345), ('length_of_stay', 0.003236245954692557), ('priors_count', 0.05339805825242718), ('race', 0.1650485436893204), ('unrelated_column_one', 0.7362459546925566), ('unrelated_column_two', 0.0048543689320388345)], 2: [('Nothing shown', 0.025889967637540454), ('age', 0.1407766990291262), ('c_charge_degree', 0.0372168284789644), ('length_of_stay', 0.02912621359223301), ('priors_count', 0.06472491909385113), ('race', 0.37216828478964403), ('sex', 0.06957928802588997), ('two_year_recid', 0.025889967637540454), ('unrelated_column_one', 0.19902912621359223), ('unrelated_column_two', 0.03559870550161812)], 3: [('Nothing shown', 0.061488673139158574), ('age', 0.23462783171521034), ('c_charge_degree', 0.042071197411003236), ('length_of_stay', 0.15048543689320387), ('priors_count', 0.12135922330097088), ('race', 0.21197411003236247), ('sex', 0.07605177993527508), ('two_year_recid', 0.030744336569579287), ('unrelated_column_one', 0.038834951456310676), ('unrelated_column_two', 0.032362459546925564)]}
explan;two_unrelated_features;0.74;0.9504465861599766;0.8973743435858965;{1: [('age', 0.07605177993527508), ('length_of_stay', 0.0016181229773462784), ('priors_count', 0.07281553398058252), ('race', 0.09546925566343042), ('sex', 0.003236245954692557), ('unrelated_column_one', 0.3818770226537217), ('unrelated_column_two', 0.36893203883495146)], 2: [('Nothing shown', 0.021035598705501618), ('age', 0.10679611650485436), ('c_charge_degree', 0.024271844660194174), ('length_of_stay', 0.02912621359223301), ('priors_count', 0.05177993527508091), ('race', 0.2702265372168285), ('sex', 0.05825242718446602), ('two_year_recid', 0.0048543689320388345), ('unrelated_column_one', 0.2168284789644013), ('unrelated_column_two', 0.2168284789644013)], 3: [('Nothing shown', 0.02912621359223301), ('age', 0.2087378640776699), ('c_charge_degree', 0.02912621359223301), ('length_of_stay', 0.07281553398058252), ('priors_count', 0.12944983818770225), ('race', 0.22653721682847897), ('sex', 0.061488673139158574), ('two_year_recid', 0.014563106796116505), ('unrelated_column_one', 0.12459546925566344), ('unrelated_column_two', 0.10355987055016182)]}
lore;baseline;;;;{1: [('race', 1.0)], 2: [('Nothing shown', 1.0)], 3: [('Nothing shown', 1.0)]}
lore;one_unrelated_feature;0.63;0.5460843312717468;0.9723175603443426;{1: [('age', 0.07281553398058252), ('length_of_stay', 0.39805825242718446), ('priors_count', 0.061488673139158574), ('race', 0.06310679611650485), ('unrelated_column_one', 0.4045307443365696)], 2: [('Nothing shown', 0.156957928802589), ('age', 0.05663430420711974), ('c_charge_degree', 0.016181229773462782), ('length_of_stay', 0.038834951456310676), ('priors_count', 0.030744336569579287), ('race', 0.1634304207119741), ('sex', 0.012944983818770227), ('two_year_recid', 0.016181229773462782), ('unrelated_column_one', 0.47896440129449835), ('unrelated_column_two', 0.02912621359223301)], 3: [('Nothing shown', 0.23462783171521034), ('age', 0.1488673139158576), ('c_charge_degree', 0.05501618122977346), ('length_of_stay', 0.1407766990291262), ('priors_count', 0.08576051779935275), ('race', 0.0970873786407767), ('sex', 0.04692556634304207), ('two_year_recid', 0.07119741100323625), ('unrelated_column_one', 0.05663430420711974), ('unrelated_column_two', 0.06310679611650485)]}
lore;two_unrelated_features;0.65;0.4582349381492766;0.9734428627693693;{1: [('age', 0.09061488673139159), ('length_of_stay', 0.5097087378640777), ('priors_count', 0.05663430420711974), ('race', 0.038834951456310676), ('unrelated_column_one', 0.156957928802589), ('unrelated_column_two', 0.14724919093851133)], 2: [('age', 0.045307443365695796), ('c_charge_degree', 0.003236245954692557), ('length_of_stay', 0.05825242718446602), ('priors_count', 0.0372168284789644), ('race', 0.030744336569579287), ('sex', 0.0048543689320388345), ('two_year_recid', 0.0048543689320388345), ('unrelated_column_one', 0.39805825242718446), ('unrelated_column_two', 0.4174757281553398)], 3: [('Nothing shown', 0.0825242718446602), ('age', 0.07281553398058252), ('c_charge_degree', 0.011326860841423949), ('length_of_stay', 0.045307443365695796), ('priors_count', 0.02912621359223301), ('race', 0.0970873786407767), ('sex', 0.02912621359223301), ('two_year_recid', 0.024271844660194174), ('unrelated_column_one', 0.2961165048543689), ('unrelated_column_two', 0.3122977346278317)]}
lime;baseline;;;;{1: [('length_of_stay', 0.003236245954692557), ('race', 0.9967637540453075)], 2: [('age', 0.024271844660194174), ('c_charge_degree', 0.1779935275080906), ('length_of_stay', 0.016181229773462782), ('priors_count', 0.016181229773462782), ('race', 0.003236245954692557), ('sex', 0.2896440129449838), ('two_year_recid', 0.18284789644012944), ('unrelated_column_one', 0.13754045307443366), ('unrelated_column_two', 0.15210355987055016)], 3: [('age', 0.05825242718446602), ('c_charge_degree', 0.15048543689320387), ('length_of_stay', 0.04692556634304207), ('priors_count', 0.05339805825242718), ('sex', 0.1553398058252427), ('two_year_recid', 0.1796116504854369), ('unrelated_column_one', 0.1715210355987055), ('unrelated_column_two', 0.18446601941747573)]}
lime;one_unrelated_feature;1.0;0.006459305457448877;0.9998049453847078;{1: [('length_of_stay', 0.003236245954692557), ('unrelated_column_one', 0.9967637540453075)], 2: [('age', 0.011326860841423949), ('c_charge_degree', 0.19741100323624594), ('length_of_stay', 0.021035598705501618), ('priors_count', 0.022653721682847898), ('race', 0.255663430420712), ('sex', 0.2313915857605178), ('two_year_recid', 0.13592233009708737), ('unrelated_column_two', 0.12459546925566344)], 3: [('age', 0.02750809061488673), ('c_charge_degree', 0.13915857605177995), ('length_of_stay', 0.016181229773462782), ('priors_count', 0.032362459546925564), ('race', 0.33171521035598706), ('sex', 0.06310679611650485), ('two_year_recid', 0.17637540453074432), ('unrelated_column_two', 0.21359223300970873)]}
