perturbation_multiplier;n_samples_per_tuple;p;val_percent;conversion_method;fidelity_error;fooled_heuristic;ood_error;summary;number_preds;number_perturbation_preds;replication_rate
1.0;1.0;0.4;0.1;0.0;0.33999999999999997;0.6821933481860313;0.48453608247422686;{1: [('Gender', 0.41), ('LoanAmount', 0.01), ('LoanRateAsPercentOfIncome', 0.57), ('YearsAtCurrentHome', 0.01)], 2: [('Age', 0.13), ('CheckingAccountBalance_geq_0', 0.01), ('CheckingAccountBalance_geq_200', 0.01), ('CriticalAccountOrLoansElsewhere', 0.01), ('ForeignWorker', 0.01), ('Gender', 0.17), ('JobClassIsSkilled', 0.02), ('LoanAmount', 0.09), ('LoanDuration', 0.07), ('LoanRateAsPercentOfIncome', 0.22), ('NoCurrentLoan', 0.02), ('NumberOfLiableIndividuals', 0.02), ('OtherLoansAtBank', 0.01), ('SavingsAccountBalance_geq_100', 0.02), ('SavingsAccountBalance_geq_500', 0.01), ('Single', 0.14), ('YearsAtCurrentHome', 0.02), ('YearsAtCurrentJob_lt_1', 0.02)], 3: [('Age', 0.04), ('CheckingAccountBalance_geq_0', 0.02), ('CheckingAccountBalance_geq_200', 0.01), ('CriticalAccountOrLoansElsewhere', 0.01), ('HasTelephone', 0.02), ('JobClassIsSkilled', 0.03), ('LoanAmount', 0.03), ('LoanDuration', 0.04), ('MissedPayments', 0.01), ('Nothing shown', 0.53), ('NumberOfLiableIndividuals', 0.05), ('NumberOfOtherLoansAtBank', 0.05), ('OtherLoansAtBank', 0.06), ('OwnsHouse', 0.02), ('SavingsAccountBalance_geq_100', 0.03), ('Single', 0.02), ('Unemployed', 0.01), ('YearsAtCurrentHome', 0.04), ('YearsAtCurrentJob_geq_4', 0.01), ('YearsAtCurrentJob_lt_1', 0.02)]};44.0;46.0;0.4622222222222222
1.0;1.0;0.4;0.1;1.0;0.33999999999999997;0.6621074622815869;0.48453608247422686;{1: [('Gender', 0.42), ('LoanRateAsPercentOfIncome', 0.58)], 2: [('Age', 0.1), ('CheckingAccountBalance_geq_0', 0.02), ('CheckingAccountBalance_geq_200', 0.01), ('CriticalAccountOrLoansElsewhere', 0.02), ('ForeignWorker', 0.01), ('Gender', 0.15), ('JobClassIsSkilled', 0.02), ('LoanAmount', 0.06), ('LoanDuration', 0.08), ('LoanRateAsPercentOfIncome', 0.21), ('NoCurrentLoan', 0.02), ('NumberOfLiableIndividuals', 0.05), ('NumberOfOtherLoansAtBank', 0.01), ('OtherLoansAtBank', 0.02), ('SavingsAccountBalance_geq_100', 0.03), ('SavingsAccountBalance_geq_500', 0.01), ('Single', 0.15), ('YearsAtCurrentHome', 0.03), ('YearsAtCurrentJob_lt_1', 0.01)], 3: [('Age', 0.08), ('CheckingAccountBalance_geq_0', 0.03), ('CriticalAccountOrLoansElsewhere', 0.01), ('HasTelephone', 0.01), ('JobClassIsSkilled', 0.02), ('LoanAmount', 0.07), ('LoanDuration', 0.02), ('MissedPayments', 0.02), ('Nothing shown', 0.55), ('NumberOfLiableIndividuals', 0.04), ('NumberOfOtherLoansAtBank', 0.01), ('OtherLoansAtBank', 0.01), ('OwnsHouse', 0.01), ('RentsHouse', 0.01), ('SavingsAccountBalance_geq_100', 0.01), ('Single', 0.02), ('Unemployed', 0.01), ('YearsAtCurrentHome', 0.04), ('YearsAtCurrentJob_geq_4', 0.02), ('YearsAtCurrentJob_lt_1', 0.02)]};44.0;46.0;0.4622222222222222
1.0;1.0;0.4;0.2;0.0;0.33999999999999997;0.7111148690985108;0.48453608247422686;{1: [('Gender', 0.42), ('LoanDuration', 0.01), ('LoanRateAsPercentOfIncome', 0.57)], 2: [('Age', 0.14), ('CheckingAccountBalance_geq_0', 0.01), ('CheckingAccountBalance_geq_200', 0.01), ('ForeignWorker', 0.01), ('Gender', 0.2), ('HasCoapplicant', 0.02), ('HasTelephone', 0.01), ('JobClassIsSkilled', 0.05), ('LoanAmount', 0.04), ('LoanRateAsPercentOfIncome', 0.24), ('NumberOfLiableIndividuals', 0.07), ('NumberOfOtherLoansAtBank', 0.02), ('OtherLoansAtBank', 0.03), ('SavingsAccountBalance_geq_100', 0.01), ('SavingsAccountBalance_geq_500', 0.01), ('Single', 0.11), ('Unemployed', 0.01), ('YearsAtCurrentJob_geq_4', 0.02), ('YearsAtCurrentJob_lt_1', 0.01)], 3: [('Age', 0.06), ('CheckingAccountBalance_geq_0', 0.02), ('CriticalAccountOrLoansElsewhere', 0.02), ('HasTelephone', 0.02), ('JobClassIsSkilled', 0.02), ('LoanAmount', 0.09), ('LoanDuration', 0.05), ('Nothing shown', 0.48), ('NumberOfLiableIndividuals', 0.02), ('NumberOfOtherLoansAtBank', 0.05), ('OtherLoansAtBank', 0.05), ('OwnsHouse', 0.01), ('RentsHouse', 0.01), ('SavingsAccountBalance_geq_100', 0.02), ('Single', 0.01), ('YearsAtCurrentHome', 0.08), ('YearsAtCurrentJob_geq_4', 0.02), ('YearsAtCurrentJob_lt_1', 0.02)]};44.0;46.0;0.4622222222222222
1.0;1.0;0.4;0.2;1.0;0.33999999999999997;0.6901801852476794;0.48453608247422686;{1: [('Gender', 0.42), ('LoanRateAsPercentOfIncome', 0.58)], 2: [('Age', 0.13), ('CheckingAccountBalance_geq_200', 0.01), ('ForeignWorker', 0.01), ('Gender', 0.19), ('HasCoapplicant', 0.02), ('HasTelephone', 0.01), ('JobClassIsSkilled', 0.06), ('LoanAmount', 0.05), ('LoanDuration', 0.02), ('LoanRateAsPercentOfIncome', 0.23), ('NumberOfLiableIndividuals', 0.04), ('NumberOfOtherLoansAtBank', 0.02), ('OtherLoansAtBank', 0.02), ('Single', 0.14), ('Unemployed', 0.01), ('YearsAtCurrentHome', 0.02), ('YearsAtCurrentJob_geq_4', 0.03), ('YearsAtCurrentJob_lt_1', 0.01)], 3: [('Age', 0.07), ('CheckingAccountBalance_geq_0', 0.01), ('CriticalAccountOrLoansElsewhere', 0.04), ('ForeignWorker', 0.01), ('HasGuarantor', 0.01), ('HasTelephone', 0.01), ('JobClassIsSkilled', 0.02), ('LoanAmount', 0.07), ('LoanDuration', 0.03), ('MissedPayments', 0.02), ('NoCurrentLoan', 0.01), ('Nothing shown', 0.46), ('NumberOfLiableIndividuals', 0.03), ('NumberOfOtherLoansAtBank', 0.04), ('OtherLoansAtBank', 0.06), ('OwnsHouse', 0.01), ('RentsHouse', 0.02), ('SavingsAccountBalance_geq_100', 0.02), ('YearsAtCurrentHome', 0.08), ('YearsAtCurrentJob_geq_4', 0.01), ('YearsAtCurrentJob_lt_1', 0.01)]};44.0;46.0;0.4622222222222222
1.0;1.0;0.4;0.3;0.0;0.33999999999999997;0.669227902756992;0.48453608247422686;{1: [('Gender', 0.42), ('LoanRateAsPercentOfIncome', 0.58)], 2: [('Age', 0.09), ('CheckingAccountBalance_geq_0', 0.06), ('CriticalAccountOrLoansElsewhere', 0.01), ('Gender', 0.16), ('HasCoapplicant', 0.01), ('JobClassIsSkilled', 0.02), ('LoanAmount', 0.07), ('LoanDuration', 0.05), ('LoanRateAsPercentOfIncome', 0.23), ('NumberOfLiableIndividuals', 0.01), ('NumberOfOtherLoansAtBank', 0.02), ('OtherLoansAtBank', 0.02), ('OwnsHouse', 0.01), ('RentsHouse', 0.01), ('Single', 0.15), ('YearsAtCurrentHome', 0.03), ('YearsAtCurrentJob_geq_4', 0.07)], 3: [('Age', 0.02), ('CheckingAccountBalance_geq_0', 0.01), ('CriticalAccountOrLoansElsewhere', 0.08), ('HasCoapplicant', 0.01), ('HasTelephone', 0.05), ('JobClassIsSkilled', 0.01), ('LoanAmount', 0.1), ('LoanDuration', 0.05), ('Nothing shown', 0.49), ('NumberOfLiableIndividuals', 0.05), ('NumberOfOtherLoansAtBank', 0.02), ('OtherLoansAtBank', 0.02), ('SavingsAccountBalance_geq_100', 0.02), ('SavingsAccountBalance_geq_500', 0.01), ('Single', 0.01), ('Unemployed', 0.01), ('YearsAtCurrentHome', 0.05), ('YearsAtCurrentJob_geq_4', 0.01)]};44.0;46.0;0.4622222222222222
1.0;1.0;0.4;0.3;1.0;0.33999999999999997;0.669227902756992;0.48453608247422686;{1: [('Gender', 0.42), ('LoanRateAsPercentOfIncome', 0.58)], 2: [('Age', 0.08), ('CheckingAccountBalance_geq_0', 0.01), ('CriticalAccountOrLoansElsewhere', 0.02), ('Gender', 0.16), ('HasCoapplicant', 0.01), ('JobClassIsSkilled', 0.05), ('LoanAmount', 0.08), ('LoanDuration', 0.05), ('LoanRateAsPercentOfIncome', 0.23), ('NumberOfLiableIndividuals', 0.01), ('OwnsHouse', 0.02), ('RentsHouse', 0.02), ('SavingsAccountBalance_geq_100', 0.01), ('SavingsAccountBalance_geq_500', 0.01), ('Single', 0.15), ('YearsAtCurrentHome', 0.06), ('YearsAtCurrentJob_geq_4', 0.03)], 3: [('Age', 0.05), ('CheckingAccountBalance_geq_0', 0.01), ('CheckingAccountBalance_geq_200', 0.01), ('CriticalAccountOrLoansElsewhere', 0.03), ('HasCoapplicant', 0.01), ('HasTelephone', 0.07), ('LoanAmount', 0.08), ('LoanDuration', 0.04), ('NoCurrentLoan', 0.01), ('Nothing shown', 0.48), ('NumberOfLiableIndividuals', 0.06), ('NumberOfOtherLoansAtBank', 0.02), ('OtherLoansAtBank', 0.02), ('Single', 0.01), ('YearsAtCurrentHome', 0.07), ('YearsAtCurrentJob_geq_4', 0.04), ('YearsAtCurrentJob_lt_1', 0.01)]};44.0;46.0;0.4622222222222222
1.0;1.0;0.6;0.1;0.0;0.4;0.513904523670733;0.5103448275862069;{1: [('Age', 0.01), ('Gender', 0.32), ('LoanAmount', 0.01), ('LoanRateAsPercentOfIncome', 0.66)], 2: [('Age', 0.06), ('CheckingAccountBalance_geq_0', 0.01), ('CheckingAccountBalance_geq_200', 0.01), ('Gender', 0.17), ('HasTelephone', 0.02), ('LoanAmount', 0.04), ('LoanDuration', 0.04), ('LoanRateAsPercentOfIncome', 0.2), ('NumberOfLiableIndividuals', 0.01), ('OwnsHouse', 0.07), ('SavingsAccountBalance_geq_100', 0.02), ('SavingsAccountBalance_geq_500', 0.01), ('Single', 0.16), ('YearsAtCurrentHome', 0.15), ('YearsAtCurrentJob_geq_4', 0.01), ('YearsAtCurrentJob_lt_1', 0.02)], 3: [('Age', 0.04), ('CheckingAccountBalance_geq_0', 0.01), ('CriticalAccountOrLoansElsewhere', 0.06), ('HasGuarantor', 0.03), ('HasTelephone', 0.03), ('LoanAmount', 0.01), ('LoanDuration', 0.03), ('MissedPayments', 0.04), ('NoCurrentLoan', 0.01), ('Nothing shown', 0.51), ('NumberOfLiableIndividuals', 0.01), ('OtherLoansAtBank', 0.02), ('OwnsHouse', 0.02), ('Single', 0.02), ('Unemployed', 0.02), ('YearsAtCurrentHome', 0.09), ('YearsAtCurrentJob_geq_4', 0.03), ('YearsAtCurrentJob_lt_1', 0.02)]};23.0;27.0;0.5988888888888889
1.0;1.0;0.6;0.1;1.0;0.4;0.5284293219874596;0.5103448275862069;{1: [('Gender', 0.33), ('LoanRateAsPercentOfIncome', 0.67)], 2: [('Age', 0.09), ('CheckingAccountBalance_geq_0', 0.02), ('CheckingAccountBalance_geq_200', 0.01), ('CriticalAccountOrLoansElsewhere', 0.01), ('Gender', 0.21), ('HasTelephone', 0.02), ('LoanAmount', 0.03), ('LoanDuration', 0.01), ('LoanRateAsPercentOfIncome', 0.2), ('NoCurrentLoan', 0.01), ('OtherLoansAtBank', 0.02), ('OwnsHouse', 0.08), ('SavingsAccountBalance_geq_100', 0.01), ('SavingsAccountBalance_geq_500', 0.02), ('Single', 0.11), ('YearsAtCurrentHome', 0.12), ('YearsAtCurrentJob_lt_1', 0.03)], 3: [('Age', 0.06), ('CriticalAccountOrLoansElsewhere', 0.04), ('HasGuarantor', 0.01), ('HasTelephone', 0.01), ('LoanAmount', 0.03), ('LoanDuration', 0.06), ('MissedPayments', 0.03), ('Nothing shown', 0.52), ('NumberOfLiableIndividuals', 0.01), ('NumberOfOtherLoansAtBank', 0.01), ('OtherLoansAtBank', 0.06), ('OwnsHouse', 0.02), ('RentsHouse', 0.01), ('SavingsAccountBalance_geq_100', 0.01), ('Single', 0.01), ('Unemployed', 0.01), ('YearsAtCurrentHome', 0.09), ('YearsAtCurrentJob_geq_4', 0.02)]};23.0;27.0;0.5988888888888889
1.0;1.0;0.6;0.2;0.0;0.4;0.590748878122975;0.5103448275862069;{1: [('Gender', 0.36), ('LoanAmount', 0.03), ('LoanRateAsPercentOfIncome', 0.61)], 2: [('Age', 0.03), ('CheckingAccountBalance_geq_0', 0.03), ('CriticalAccountOrLoansElsewhere', 0.02), ('Gender', 0.16), ('HasTelephone', 0.02), ('JobClassIsSkilled', 0.03), ('LoanAmount', 0.09), ('LoanDuration', 0.02), ('LoanRateAsPercentOfIncome', 0.26), ('NoCurrentLoan', 0.01), ('NumberOfLiableIndividuals', 0.03), ('NumberOfOtherLoansAtBank', 0.01), ('OtherLoansAtBank', 0.04), ('RentsHouse', 0.03), ('Single', 0.17), ('Unemployed', 0.01), ('YearsAtCurrentHome', 0.03), ('YearsAtCurrentJob_geq_4', 0.02)], 3: [('Age', 0.08), ('CheckingAccountBalance_geq_0', 0.02), ('CheckingAccountBalance_geq_200', 0.02), ('CriticalAccountOrLoansElsewhere', 0.01), ('HasTelephone', 0.02), ('JobClassIsSkilled', 0.02), ('LoanAmount', 0.04), ('LoanDuration', 0.05), ('LoanRateAsPercentOfIncome', 0.01), ('MissedPayments', 0.01), ('Nothing shown', 0.49), ('NumberOfLiableIndividuals', 0.03), ('OtherLoansAtBank', 0.02), ('RentsHouse', 0.01), ('SavingsAccountBalance_geq_100', 0.02), ('Single', 0.02), ('Unemployed', 0.01), ('YearsAtCurrentHome', 0.07), ('YearsAtCurrentJob_geq_4', 0.04), ('YearsAtCurrentJob_lt_1', 0.01)]};23.0;27.0;0.5988888888888889
1.0;1.0;0.6;0.2;1.0;0.4;0.5550675034287414;0.5103448275862069;{1: [('Gender', 0.36), ('LoanRateAsPercentOfIncome', 0.64)], 2: [('CheckingAccountBalance_geq_0', 0.04), ('CheckingAccountBalance_geq_200', 0.02), ('CriticalAccountOrLoansElsewhere', 0.02), ('ForeignWorker', 0.01), ('Gender', 0.16), ('HasCoapplicant', 0.01), ('HasGuarantor', 0.01), ('HasTelephone', 0.02), ('JobClassIsSkilled', 0.03), ('LoanAmount', 0.08), ('LoanDuration', 0.04), ('LoanRateAsPercentOfIncome', 0.23), ('NoCurrentLoan', 0.01), ('NumberOfLiableIndividuals', 0.02), ('NumberOfOtherLoansAtBank', 0.01), ('OtherLoansAtBank', 0.02), ('RentsHouse', 0.04), ('Single', 0.15), ('YearsAtCurrentHome', 0.03), ('YearsAtCurrentJob_geq_4', 0.03), ('YearsAtCurrentJob_lt_1', 0.03)], 3: [('Age', 0.11), ('CheckingAccountBalance_geq_0', 0.01), ('CriticalAccountOrLoansElsewhere', 0.01), ('HasTelephone', 0.03), ('JobClassIsSkilled', 0.04), ('LoanAmount', 0.07), ('LoanDuration', 0.06), ('Nothing shown', 0.5), ('NumberOfLiableIndividuals', 0.04), ('OtherLoansAtBank', 0.03), ('OwnsHouse', 0.01), ('RentsHouse', 0.01), ('YearsAtCurrentHome', 0.05), ('YearsAtCurrentJob_geq_4', 0.03)]};23.0;27.0;0.5988888888888889
