perturbation_multiplier;n_samples_per_tuple;p;val_percent;conversion_method;fidelity_error;fooled_heuristic;ood_error;summary;number_preds;number_perturbation_preds;replication_rate
2.0;1.0;0.6;0.2;0.0;0.33999999999999997;0.6597787381826007;0.46557377049180326;{1: [('Age', 0.01), ('Gender', 0.4), ('LoanAmount', 0.01), ('LoanRateAsPercentOfIncome', 0.57), ('YearsAtCurrentHome', 0.01)], 2: [('Age', 0.09), ('CheckingAccountBalance_geq_0', 0.01), ('CriticalAccountOrLoansElsewhere', 0.01), ('Gender', 0.15), ('HasTelephone', 0.01), ('LoanAmount', 0.02), ('LoanDuration', 0.04), ('LoanRateAsPercentOfIncome', 0.23), ('MissedPayments', 0.03), ('NumberOfLiableIndividuals', 0.04), ('NumberOfOtherLoansAtBank', 0.03), ('OtherLoansAtBank', 0.05), ('OwnsHouse', 0.02), ('RentsHouse', 0.02), ('SavingsAccountBalance_geq_100', 0.01), ('SavingsAccountBalance_geq_500', 0.01), ('Single', 0.16), ('YearsAtCurrentHome', 0.04), ('YearsAtCurrentJob_geq_4', 0.06)], 3: [('Age', 0.01), ('CheckingAccountBalance_geq_0', 0.03), ('CriticalAccountOrLoansElsewhere', 0.04), ('HasTelephone', 0.01), ('JobClassIsSkilled', 0.02), ('LoanAmount', 0.03), ('LoanDuration', 0.08), ('NoCurrentLoan', 0.04), ('Nothing shown', 0.49), ('NumberOfLiableIndividuals', 0.02), ('NumberOfOtherLoansAtBank', 0.02), ('OtherLoansAtBank', 0.03), ('OwnsHouse', 0.02), ('RentsHouse', 0.02), ('SavingsAccountBalance_geq_100', 0.03), ('SavingsAccountBalance_geq_500', 0.03), ('Single', 0.01), ('YearsAtCurrentHome', 0.04), ('YearsAtCurrentJob_geq_4', 0.05)]};36.0;44.0;0.5772222222222222
2.0;1.0;0.6;0.2;0.0;0.43999999999999995;0.4798411156658158;0.4724919093851133;{1: [('Gender', 0.31), ('LoanDuration', 0.01), ('LoanRateAsPercentOfIncome', 0.68)], 2: [('Age', 0.03), ('CheckingAccountBalance_geq_0', 0.1), ('CheckingAccountBalance_geq_200', 0.01), ('Gender', 0.15), ('LoanAmount', 0.04), ('LoanDuration', 0.05), ('LoanRateAsPercentOfIncome', 0.24), ('NumberOfLiableIndividuals', 0.01), ('NumberOfOtherLoansAtBank', 0.02), ('OtherLoansAtBank', 0.05), ('OwnsHouse', 0.01), ('RentsHouse', 0.08), ('Single', 0.17), ('Unemployed', 0.01), ('YearsAtCurrentHome', 0.01), ('YearsAtCurrentJob_geq_4', 0.03), ('YearsAtCurrentJob_lt_1', 0.01)], 3: [('Age', 0.04), ('CheckingAccountBalance_geq_0', 0.02), ('CriticalAccountOrLoansElsewhere', 0.02), ('Gender', 0.01), ('HasTelephone', 0.03), ('JobClassIsSkilled', 0.02), ('LoanAmount', 0.04), ('LoanDuration', 0.07), ('Nothing shown', 0.52), ('NumberOfLiableIndividuals', 0.02), ('NumberOfOtherLoansAtBank', 0.03), ('OtherLoansAtBank', 0.05), ('SavingsAccountBalance_geq_100', 0.04), ('YearsAtCurrentHome', 0.1), ('YearsAtCurrentJob_geq_4', 0.01), ('YearsAtCurrentJob_lt_1', 0.01)]};17.0;18.0;0.5711111111111111
2.0;1.0;0.6;0.2;0.0;0.31999999999999995;0.7466927566671719;0.4968152866242038;{1: [('Age', 0.01), ('Gender', 0.44), ('LoanRateAsPercentOfIncome', 0.55)], 2: [('Age', 0.05), ('CriticalAccountOrLoansElsewhere', 0.07), ('Gender', 0.19), ('HasCoapplicant', 0.01), ('HasTelephone', 0.09), ('JobClassIsSkilled', 0.02), ('LoanAmount', 0.08), ('LoanDuration', 0.03), ('LoanRateAsPercentOfIncome', 0.25), ('OtherLoansAtBank', 0.01), ('OwnsHouse', 0.01), ('SavingsAccountBalance_geq_500', 0.01), ('Single', 0.13), ('YearsAtCurrentHome', 0.02), ('YearsAtCurrentJob_geq_4', 0.03)], 3: [('Age', 0.05), ('CheckingAccountBalance_geq_0', 0.03), ('CriticalAccountOrLoansElsewhere', 0.01), ('HasTelephone', 0.04), ('JobClassIsSkilled', 0.01), ('LoanAmount', 0.1), ('LoanDuration', 0.05), ('MissedPayments', 0.01), ('Nothing shown', 0.49), ('NumberOfLiableIndividuals', 0.01), ('NumberOfOtherLoansAtBank', 0.02), ('OtherLoansAtBank', 0.03), ('OwnsHouse', 0.05), ('RentsHouse', 0.01), ('Single', 0.01), ('YearsAtCurrentHome', 0.07), ('YearsAtCurrentJob_geq_4', 0.02), ('YearsAtCurrentJob_lt_1', 0.01)]};38.0;46.0;0.565
2.0;1.0;0.6;0.2;0.0;0.35;0.6894082180154397;0.3910256410256411;{1: [('Gender', 0.39), ('LoanRateAsPercentOfIncome', 0.59), ('NumberOfOtherLoansAtBank', 0.01), ('OtherLoansAtBank', 0.01), ('YearsAtCurrentHome', 0.01)], 2: [('Age', 0.19), ('CheckingAccountBalance_geq_200', 0.01), ('Gender', 0.22), ('HasCoapplicant', 0.01), ('HasTelephone', 0.02), ('JobClassIsSkilled', 0.02), ('LoanAmount', 0.01), ('LoanDuration', 0.02), ('LoanRateAsPercentOfIncome', 0.24), ('MissedPayments', 0.01), ('NumberOfLiableIndividuals', 0.02), ('NumberOfOtherLoansAtBank', 0.04), ('OtherLoansAtBank', 0.06), ('RentsHouse', 0.03), ('Single', 0.07), ('YearsAtCurrentHome', 0.01), ('YearsAtCurrentJob_geq_4', 0.04), ('YearsAtCurrentJob_lt_1', 0.02)], 3: [('Age', 0.06), ('CheckingAccountBalance_geq_0', 0.03), ('CriticalAccountOrLoansElsewhere', 0.04), ('Gender', 0.02), ('HasTelephone', 0.02), ('LoanAmount', 0.05), ('LoanDuration', 0.04), ('MissedPayments', 0.01), ('Nothing shown', 0.5), ('NumberOfLiableIndividuals', 0.04), ('OwnsHouse', 0.05), ('RentsHouse', 0.02), ('SavingsAccountBalance_geq_100', 0.01), ('Unemployed', 0.01), ('YearsAtCurrentHome', 0.05), ('YearsAtCurrentJob_geq_4', 0.04), ('YearsAtCurrentJob_lt_1', 0.01)]};35.0;36.0;0.5677777777777778
2.0;1.0;0.6;0.2;0.0;0.35;0.6065946779136154;0.46945337620578775;{1: [('Age', 0.03), ('Gender', 0.38), ('LoanRateAsPercentOfIncome', 0.59)], 2: [('Age', 0.11), ('CheckingAccountBalance_geq_200', 0.01), ('Gender', 0.11), ('HasCoapplicant', 0.02), ('HasGuarantor', 0.01), ('HasTelephone', 0.04), ('JobClassIsSkilled', 0.03), ('LoanAmount', 0.05), ('LoanDuration', 0.05), ('LoanRateAsPercentOfIncome', 0.23), ('MissedPayments', 0.01), ('NoCurrentLoan', 0.01), ('NumberOfOtherLoansAtBank', 0.01), ('OtherLoansAtBank', 0.01), ('RentsHouse', 0.02), ('SavingsAccountBalance_geq_100', 0.01), ('Single', 0.22), ('YearsAtCurrentHome', 0.01), ('YearsAtCurrentJob_geq_4', 0.04), ('YearsAtCurrentJob_lt_1', 0.01)], 3: [('Age', 0.04), ('CheckingAccountBalance_geq_0', 0.03), ('CheckingAccountBalance_geq_200', 0.01), ('CriticalAccountOrLoansElsewhere', 0.03), ('Gender', 0.02), ('HasTelephone', 0.02), ('JobClassIsSkilled', 0.05), ('LoanAmount', 0.03), ('LoanDuration', 0.03), ('Nothing shown', 0.53), ('NumberOfLiableIndividuals', 0.02), ('NumberOfOtherLoansAtBank', 0.02), ('OtherLoansAtBank', 0.02), ('OwnsHouse', 0.01), ('RentsHouse', 0.01), ('SavingsAccountBalance_geq_100', 0.03), ('SavingsAccountBalance_geq_500', 0.01), ('YearsAtCurrentHome', 0.08), ('YearsAtCurrentJob_lt_1', 0.03)]};32.0;35.0;0.5688888888888889
2.0;1.0;0.6;0.2;0.0;0.37;0.548026271742453;0.46283783783783783;{1: [('Gender', 0.35), ('LoanAmount', 0.02), ('LoanRateAsPercentOfIncome', 0.63)], 2: [('Age', 0.19), ('CheckingAccountBalance_geq_200', 0.01), ('CriticalAccountOrLoansElsewhere', 0.02), ('Gender', 0.14), ('HasGuarantor', 0.01), ('HasTelephone', 0.01), ('LoanAmount', 0.04), ('LoanRateAsPercentOfIncome', 0.23), ('MissedPayments', 0.03), ('NoCurrentLoan', 0.01), ('NumberOfLiableIndividuals', 0.03), ('NumberOfOtherLoansAtBank', 0.03), ('OtherLoansAtBank', 0.04), ('RentsHouse', 0.05), ('Single', 0.16), ('YearsAtCurrentJob_geq_4', 0.03)], 3: [('Age', 0.03), ('CheckingAccountBalance_geq_0', 0.03), ('CheckingAccountBalance_geq_200', 0.01), ('CriticalAccountOrLoansElsewhere', 0.02), ('HasTelephone', 0.02), ('JobClassIsSkilled', 0.03), ('LoanAmount', 0.08), ('LoanDuration', 0.05), ('Nothing shown', 0.49), ('NumberOfLiableIndividuals', 0.01), ('NumberOfOtherLoansAtBank', 0.05), ('OtherLoansAtBank', 0.05), ('OwnsHouse', 0.01), ('RentsHouse', 0.01), ('SavingsAccountBalance_geq_500', 0.02), ('YearsAtCurrentHome', 0.08), ('YearsAtCurrentJob_geq_4', 0.04), ('YearsAtCurrentJob_lt_1', 0.02)]};29.0;31.0;0.5888888888888889
2.0;1.0;0.6;0.2;0.0;0.38;0.5201185436090408;0.46496815286624205;{1: [('Gender', 0.32), ('LoanRateAsPercentOfIncome', 0.68)], 2: [('Age', 0.12), ('CheckingAccountBalance_geq_0', 0.02), ('CriticalAccountOrLoansElsewhere', 0.01), ('Gender', 0.23), ('HasTelephone', 0.01), ('LoanAmount', 0.04), ('LoanDuration', 0.04), ('LoanRateAsPercentOfIncome', 0.22), ('NoCurrentLoan', 0.01), ('NumberOfOtherLoansAtBank', 0.02), ('OtherLoansAtBank', 0.05), ('OwnsHouse', 0.03), ('RentsHouse', 0.05), ('SavingsAccountBalance_geq_100', 0.02), ('Single', 0.14), ('YearsAtCurrentHome', 0.01)], 3: [('Age', 0.03), ('CheckingAccountBalance_geq_0', 0.01), ('CheckingAccountBalance_geq_200', 0.02), ('CriticalAccountOrLoansElsewhere', 0.03), ('HasTelephone', 0.03), ('JobClassIsSkilled', 0.03), ('LoanAmount', 0.06), ('LoanDuration', 0.05), ('MissedPayments', 0.01), ('NoCurrentLoan', 0.01), ('Nothing shown', 0.52), ('NumberOfOtherLoansAtBank', 0.04), ('OtherLoansAtBank', 0.05), ('RentsHouse', 0.02), ('Unemployed', 0.01), ('YearsAtCurrentHome', 0.08), ('YearsAtCurrentJob_geq_4', 0.04)]};31.0;35.0;0.5638888888888889
2.0;1.0;0.6;0.2;0.0;0.22999999999999998;1.0435774273721181;0.44850498338870437;{1: [('Age', 0.03), ('Gender', 0.53), ('LoanAmount', 0.01), ('LoanDuration', 0.01), ('LoanRateAsPercentOfIncome', 0.42)], 2: [('Age', 0.11), ('CheckingAccountBalance_geq_200', 0.01), ('Gender', 0.2), ('LoanAmount', 0.06), ('LoanDuration', 0.05), ('LoanRateAsPercentOfIncome', 0.32), ('MissedPayments', 0.03), ('NoCurrentLoan', 0.01), ('NumberOfLiableIndividuals', 0.01), ('NumberOfOtherLoansAtBank', 0.01), ('OtherLoansAtBank', 0.03), ('RentsHouse', 0.04), ('SavingsAccountBalance_geq_100', 0.01), ('Single', 0.08), ('Unemployed', 0.01), ('YearsAtCurrentJob_geq_4', 0.02), ('YearsAtCurrentJob_lt_1', 0.01)], 3: [('Age', 0.05), ('CriticalAccountOrLoansElsewhere', 0.02), ('ForeignWorker', 0.01), ('HasTelephone', 0.02), ('JobClassIsSkilled', 0.01), ('LoanAmount', 0.06), ('LoanDuration', 0.07), ('Nothing shown', 0.52), ('NumberOfLiableIndividuals', 0.05), ('NumberOfOtherLoansAtBank', 0.01), ('OtherLoansAtBank', 0.03), ('OwnsHouse', 0.02), ('RentsHouse', 0.03), ('SavingsAccountBalance_geq_100', 0.01), ('Single', 0.04), ('Unemployed', 0.01), ('YearsAtCurrentHome', 0.03), ('YearsAtCurrentJob_lt_1', 0.02)]};47.0;53.0;0.5827777777777777
2.0;1.0;0.6;0.2;0.0;0.41000000000000003;0.5429161454902073;0.44805194805194803;{1: [('Gender', 0.34), ('LoanDuration', 0.01), ('LoanRateAsPercentOfIncome', 0.65)], 2: [('Age', 0.05), ('CheckingAccountBalance_geq_0', 0.01), ('CriticalAccountOrLoansElsewhere', 0.02), ('Gender', 0.18), ('HasTelephone', 0.01), ('JobClassIsSkilled', 0.04), ('LoanAmount', 0.06), ('LoanDuration', 0.09), ('LoanRateAsPercentOfIncome', 0.23), ('MissedPayments', 0.01), ('Nothing shown', 0.01), ('NumberOfLiableIndividuals', 0.02), ('NumberOfOtherLoansAtBank', 0.05), ('OtherLoansAtBank', 0.08), ('SavingsAccountBalance_geq_500', 0.01), ('Single', 0.16), ('Unemployed', 0.01), ('YearsAtCurrentHome', 0.01)], 3: [('Age', 0.05), ('CheckingAccountBalance_geq_0', 0.05), ('CriticalAccountOrLoansElsewhere', 0.08), ('HasCoapplicant', 0.01), ('HasTelephone', 0.03), ('JobClassIsSkilled', 0.04), ('LoanAmount', 0.04), ('LoanDuration', 0.04), ('Nothing shown', 0.54), ('NumberOfOtherLoansAtBank', 0.01), ('OtherLoansAtBank', 0.01), ('OwnsHouse', 0.01), ('RentsHouse', 0.01), ('YearsAtCurrentHome', 0.05), ('YearsAtCurrentJob_geq_4', 0.03), ('YearsAtCurrentJob_lt_1', 0.01)]};24.0;25.0;0.5727777777777778
2.0;1.0;0.6;0.2;0.0;0.24;0.8494808834551854;0.4368932038834952;{1: [('Gender', 0.49), ('LoanAmount', 0.01), ('LoanDuration', 0.01), ('LoanRateAsPercentOfIncome', 0.49)], 2: [('Age', 0.05), ('CheckingAccountBalance_geq_200', 0.02), ('CriticalAccountOrLoansElsewhere', 0.02), ('Gender', 0.16), ('JobClassIsSkilled', 0.01), ('LoanAmount', 0.01), ('LoanDuration', 0.06), ('LoanRateAsPercentOfIncome', 0.27), ('MissedPayments', 0.06), ('NoCurrentLoan', 0.01), ('NumberOfLiableIndividuals', 0.06), ('OwnsHouse', 0.02), ('RentsHouse', 0.04), ('Single', 0.15), ('Unemployed', 0.01), ('YearsAtCurrentHome', 0.02), ('YearsAtCurrentJob_geq_4', 0.02), ('YearsAtCurrentJob_lt_1', 0.01)], 3: [('Age', 0.08), ('CheckingAccountBalance_geq_0', 0.04), ('CriticalAccountOrLoansElsewhere', 0.03), ('ForeignWorker', 0.01), ('HasTelephone', 0.01), ('JobClassIsSkilled', 0.04), ('LoanAmount', 0.07), ('LoanDuration', 0.08), ('NoCurrentLoan', 0.01), ('Nothing shown', 0.46), ('NumberOfLiableIndividuals', 0.02), ('NumberOfOtherLoansAtBank', 0.01), ('OtherLoansAtBank', 0.01), ('OwnsHouse', 0.03), ('SavingsAccountBalance_geq_500', 0.02), ('Single', 0.01), ('Unemployed', 0.01), ('YearsAtCurrentHome', 0.04), ('YearsAtCurrentJob_lt_1', 0.03)]};52.0;57.0;0.5716666666666667
